Mach,alpha,n_rows,y_min,y_max,p_left_tail_samples_per_period,p_right_tail_samples_per_period,p_left_tail_n,p_right_tail_n,rho_left_tail_samples_per_period,rho_right_tail_samples_per_period,rho_left_tail_n,rho_right_tail_n,u_left_tail_samples_per_period,u_right_tail_samples_per_period,u_left_tail_n,u_right_tail_n,v_left_tail_samples_per_period,v_right_tail_samples_per_period,v_left_tail_n,v_right_tail_n,worst_tail_samples_per_period,tail_resolution_flag
1.8,0.1675,4418,-1941.825844888655,1941.825844888655,,198.86820901787945,0,22,,198.86820901813942,0,22,,401.2656628271226,0,42,,315.48740112681094,0,33,198.86820901787945,ok
1.9,0.1625,4418,-1999.9999999999343,1999.9999999999343,,201.6772081078914,0,21,,201.67720810789066,0,21,,415.9004068489325,0,40,,329.18044903890603,0,32,201.67720810789066,ok
1.8,0.17,4418,-1984.5248474921443,1984.5248474921443,,215.10665959691758,0,22,,215.1066595968914,0,22,,435.3669727801437,0,43,,331.61003009165205,0,34,215.1066595968914,ok
1.9,0.165,4418,-1999.9999999999343,1999.9999999999343,,220.2380711142077,0,21,,220.23807111415286,0,21,,455.09969256258904,0,41,,355.4613812249744,0,32,220.23807111415286,ok
1.8,0.1725,4418,-1999.9999999999343,1999.9999999999343,,233.19750440959868,0,24,,233.19750440963713,0,24,,465.4822174891299,0,43,,362.9883387906787,0,35,233.19750440959868,ok
1.9,0.1675,4418,-1999.9999999999343,1999.9999999999343,,240.79764845587962,0,21,,240.7976484558909,0,21,,490.00839257988133,0,41,,384.4985410358717,0,34,240.79764845587962,ok
1.8,0.175,4418,-1999.9999999999343,1999.9999999999343,,253.25827960871464,0,24,,253.25827960846533,0,24,,507.0643263405782,0,44,,390.61529573386844,0,35,253.25827960846533,ok
1.9,0.17,4418,-1999.9999999999343,1999.9999999999343,,257.42871027567935,0,22,,257.42871027553883,0,22,,538.1321759579128,0,42,,416.8149186740894,0,34,257.42871027553883,ok
1.8,0.1775,4418,-1999.9999999999343,1999.9999999999343,,275.3863548305073,0,24,,275.38635483044834,0,24,,552.7536988034077,0,45,,428.83818671048925,0,36,275.38635483044834,ok
1.9,0.1725,4418,-1999.9999999999343,1999.9999999999343,,289.1330670798995,0,23,,289.13306707958634,0,23,,581.5417275842482,0,44,,461.06573309895174,0,35,289.13306707958634,ok
1.8,0.18,4418,-1999.9999999999343,1999.9999999999343,,299.9113215706884,0,24,,299.91132157053266,0,24,,585.0410780425302,0,46,,462.9471395046158,0,36,299.91132157053266,ok
1.9,0.175,4418,-1999.9999999999343,1999.9999999999343,,317.798717743602,0,23,,317.7987177433968,0,23,,640.7782355887251,0,45,,501.86426571398687,0,35,317.7987177433968,ok
1.8,0.1825,4418,-1999.9999999999343,1999.9999999999343,,319.9331298000885,0,25,,319.9331298002278,0,25,,639.9226682803176,0,47,,500.61606815912245,0,38,319.9331298000885,ok
1.9,0.1775,4418,-1999.9999999999343,1999.9999999999343,,342.3926597462516,0,24,,342.39265974615216,0,24,,696.6033207714889,0,45,,547.8832163656979,0,37,342.39265974615216,ok
