condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds
generic,0,C00,1.05,0.105,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,1e-06,3.515362588356661e-08,3.291359941090088e-19,3.515362588389575e-08,True,True,True,0.13855608757386956,23.49831530195661
generic,1,C00,1.1,0.09,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.01762460157934827,2.2663903599167965e-20,0.01762460157934827,True,True,True,0.032280886091339424,32.37437442096416
generic,1,C00,1.1,0.09,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.00064069482421875,0.028552673113513474,4.691636310304457e-19,0.028552673113513474,True,True,True,0.05245151741061938,76.86667897191364
generic,1,C00,1.1,0.09,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.07002929687500004,0.04791884765624998,0.00727242488190037,2.8278897421376146e-21,0.00727242488190037,True,True,True,0.05483414644074235,24.177084275055677
generic,1,C00,1.1,0.09,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.014940332031249998,0.015739858316944504,1.920362643430072e-20,0.015739858316944504,True,True,True,0.06132229917661698,32.249421903979965
generic,1,C00,1.1,0.09,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8479882812499999,1e-06,0.005234938464721998,2.8723413603920726e-06,0.00523781080608239,True,True,True,0.052050119003986074,41.328206025995314
generic,1,C00,1.1,0.09,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.040058593750000024,0.045070703124999986,0.005864925110093596,1.6833389544530745e-21,0.005864925110093596,True,True,True,0.07493554779131477,24.09671041800175
generic,1,C00,1.1,0.09,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.008107812499999999,0.01103357346673309,4.672840030078888e-20,0.01103357346673309,True,True,True,0.12014996377005398,33.196428772993386
generic,1,C00,1.1,0.09,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,4.4504503038194446e-05,0.000622387495972016,2.9803807520225127e-19,0.0006223874959720163,True,True,True,0.1198828253448353,39.50494641799014
generic,1,C00,1.1,0.09,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0076497395833333365,0.04791884765624998,0.0048073152256909845,1.2927791961798857e-21,0.0048073152256909845,True,True,True,0.10313637170806449,23.68869010906201
generic,1,C00,1.1,0.09,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.005059667968750001,0.0035786231846625252,1.207875991802731e-19,0.0035786231846625252,True,True,True,0.19982811292471198,33.92451780301053
generic,1,C00,1.1,0.09,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,3.436761145452941e-08,4.893636415368027e-19,3.436761145501878e-08,True,True,True,0.1385551991478458,23.24667780706659
generic,1,C00,1.1,0.09,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.008170572916666665,0.045070703124999986,0.005139129634398077,1.1654048013971834e-21,0.005139129634398077,True,True,True,0.10224973260605681,23.701568573946133
generic,2,C00,1.1,0.105,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.000565686848958333,0.03340554143207001,3.9894281555891625e-19,0.03340554143207001,True,True,True,0.0524507978206706,80.8727422170341
generic,2,C00,1.1,0.105,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07002929687500004,0.025433496093749994,0.012579846046453578,1.5710006177107883e-21,0.012579846046453578,True,True,True,0.038044339723310734,25.313065725029446
generic,2,C00,1.1,0.105,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.025115332031249996,0.02031215706665555,6.437857752389098e-21,0.02031215706665555,True,True,True,0.037849195773778425,31.685029156971723
generic,2,C00,1.1,0.105,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0004853007812499999,0.02524228329971118,4.0063543260072075e-19,0.02524228329971118,True,True,True,0.05996054116626073,40.22865093697328
generic,2,C00,1.1,0.105,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.040058593750000024,0.022585351562499995,0.011759707938955186,6.423720352070135e-22,0.011759707938955186,True,True,True,0.06402002200965537,25.455948653048836
generic,2,C00,1.1,0.105,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.016379296875,0.018226107831088682,1.0306967095387047e-20,0.018226107831088682,True,True,True,0.06211270151886738,32.30162530206144
generic,2,C00,1.1,0.105,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,3.3455240885416666e-05,0.0007271361989557897,9.64373351792601e-19,0.0007271361989557907,True,True,True,0.1198828309688884,40.39956648205407
generic,2,C00,1.1,0.105,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.024101562500000014,0.025433496093749994,0.01113767232344508,6.266665474358441e-22,0.01113767232344508,True,True,True,0.07943362986869731,25.270140493987128
generic,2,C00,1.1,0.105,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.005800878906249997,0.01281533974698035,4.865240125149319e-20,0.01281533974698035,True,True,True,0.11994305070895148,33.605167824891396
generic,2,C00,1.1,0.105,9,generic,5,0.9,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.823958333333333e-05,3.5523824367350286e-08,4.1513472489127055e-19,3.552382436776542e-08,True,True,True,0.1385555553080071,23.738710641977377
generic,2,C00,1.1,0.105,10,generic,0,0.1,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.02373046875,0.022585351562499995,0.011578282186799734,4.915403691583596e-22,0.011578282186799734,True,True,True,0.07951498243717312,25.3842047030339
generic,2,C00,1.1,0.105,11,generic,1,0.5,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.6998046874999995,0.0006692432725694445,0.004150944477840372,3.85954523222656e-19,0.004150944477840372,True,True,True,0.19980549838499392,35.84899955696892
generic,3,C00,1.1,0.115,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.07002929687500004,0.014940332031249998,0.016864325757616053,7.660393517150288e-22,0.016864325757616053,True,True,True,0.03264498795965282,26.212756025022827
generic,3,C00,1.1,0.115,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.024685319010416665,0.02211344394511317,3.639758049394131e-21,0.02211344394511317,True,True,True,0.03758811972433905,32.141187511966564
generic,3,C00,1.1,0.115,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8553442382812501,1e-06,0.01369277707374089,8.498453982820837e-10,0.013692777923586289,True,True,True,0.04470048160458425,82.78183100104798
generic,3,C00,1.1,0.115,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.040058593750000024,0.0120921875,0.016101271952118273,2.133379852076826e-22,0.016101271952118273,True,True,True,0.06112924622684868,26.5521025309572
generic,3,C00,1.1,0.115,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.016364648437500004,0.019867733978304724,6.21337220175806e-21,0.019867733978304724,True,True,True,0.062108863876446783,32.78082522400655
generic,3,C00,1.1,0.115,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.85537109375,1e-06,0.013679558791211932,8.583344278358371e-10,0.01367955964954636,True,True,True,0.04462901605537919,42.247587351943366
generic,3,C00,1.1,0.115,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.03128906250000001,0.014940332031249998,0.015522130829640997,2.796461295692808e-22,0.015522130829640997,True,True,True,0.06991884670965261,26.25880649103783
generic,3,C00,1.1,0.115,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.008566503906250005,0.014004026759476016,1.872660926577563e-20,0.014004026759476016,True,True,True,0.12006251582596844,33.70839032204822
generic,3,C00,1.1,0.115,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,6.0699367444701655e-06,0.0007846782218838003,7.539452152767786e-15,0.0007846782218913397,True,True,True,0.11989939320116368,39.879478889051825
generic,3,C00,1.1,0.115,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.030371093749999998,0.0120921875,0.01602504598584037,1.7468864130236748e-22,0.01602504598584037,True,True,True,0.07065406673791996,26.49199672206305
generic,3,C00,1.1,0.115,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0026146484375000004,0.004548286648312102,1.5188810859264743e-19,0.004548286648312102,True,True,True,0.19982051096856066,35.244838511920534
generic,3,C00,1.1,0.115,11,generic,2,0.9,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.3981770833333346e-05,3.8333567141651797e-08,3.6919418368100724e-19,3.833356714202099e-08,True,True,True,0.13854168239625356,23.397048110957257
generic,4,C00,1.2,0.075,0,generic,4,0.5,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.014940332031249998,0.014097597792177834,2.1791574129359085e-20,0.014097597792177834,True,True,True,0.03264498795965269,30.823896904010326
generic,4,C00,1.2,0.075,1,generic,5,0.9,0.002,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0007869752061631942,0.023640094983726077,5.402779683973586e-19,0.023640094983726077,True,True,True,0.052462755902964474,75.35770118492655
generic,4,C00,1.2,0.075,2,generic,0,0.1,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.09930664062500001,0.045070703124999986,0.005715197266938361,1.078550016663774e-21,0.005715197266938361,True,True,True,0.04497604792308661,24.99201865994837
generic,4,C00,1.2,0.075,3,generic,1,0.5,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.0120921875,0.012688276715698426,2.8187846788039784e-20,0.012688276715698426,True,True,True,0.06112924622684858,31.458098878967576
generic,4,C00,1.2,0.075,4,generic,2,0.9,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8400585937499998,0.0006450058593749998,0.01785827834103765,5.456957181509291e-19,0.01785827834103765,True,True,True,0.059943883879961586,38.916634112014435
generic,4,C00,1.2,0.075,5,generic,3,0.1,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.10154296875,0.04791884765624998,0.005516467423191707,1.229325001478666e-21,0.005516467423191707,True,True,True,0.04594476382180423,24.893512062961236
generic,4,C00,1.2,0.075,6,generic,4,0.5,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.010009667968750002,0.00898074142569586,4.1117933455492924e-20,0.00898074142569586,True,True,True,0.1201500874484898,32.13735475298017
generic,4,C00,1.2,0.075,7,generic,5,0.9,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,6.942267071759262e-05,0.00051379185606843,6.589564484832073e-19,0.0005137918560684306,True,True,True,0.11989835637628415,38.85915432800539
generic,4,C00,1.2,0.075,8,generic,0,0.1,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.09933593750000004,0.045070703124999986,0.0057151975712205205,1.078900072112744e-21,0.0057151975712205205,True,True,True,0.04497560581649556,24.972335914964788
generic,4,C00,1.2,0.075,9,generic,1,0.5,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.0041078124999999995,0.0029322252126587666,1.714500118383331e-19,0.0029322252126587666,True,True,True,0.19984487911379564,33.57769753097091
generic,4,C00,1.2,0.075,10,generic,2,0.9,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,5.668576388888889e-05,2.7295745527991258e-08,5.7353423156041785e-19,2.729574552856479e-08,True,True,True,0.13854167343763701,23.077505095978267
generic,4,C00,1.2,0.075,11,generic,3,0.1,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.10149739583333332,0.04791884765624998,0.005516468266411403,1.2287022589028665e-21,0.005516468266411403,True,True,True,0.04594325591813861,24.830526537029073
generic,5,C01,1.0,0.145,0,generic,5,0.9,0.002,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.00028170638020833346,0.04673510678155534,2.422967461425891e-19,0.04673510678155534,True,True,True,0.05247686976895047,84.37693293695338
generic,5,C01,1.0,0.145,1,generic,0,0.1,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07002929687500004,0.022585351562499995,0.01690970106582078,7.849372689295096e-21,0.01690970106582078,True,True,True,0.03746777389565737,26.53453903598711
generic,5,C01,1.0,0.145,2,generic,1,0.5,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.019191796875000004,0.02899181074180017,8.890027739482026e-24,0.02899181074180017,True,True,True,0.03553504965133909,33.072656933101825
generic,5,C01,1.0,0.145,3,generic,2,0.9,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.00028455631510416665,0.035324631296209184,2.418143245416449e-19,0.035324631296209184,True,True,True,0.0599416903687326,41.549279189901426
generic,5,C01,1.0,0.145,4,generic,3,0.1,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.040058593750000024,0.025433496093749994,0.011388138649099341,7.021411097543367e-21,0.011388138649099341,True,True,True,0.06435915569989505,25.308664802927524
generic,5,C01,1.0,0.145,5,generic,4,0.5,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.012550553385416665,0.025891018197076412,4.24925985837911e-22,0.025891018197076412,True,True,True,0.06086284876643594,33.694647241034545
generic,5,C01,1.0,0.145,6,generic,5,0.9,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,1.554671223958333e-05,0.001017366412728246,1.637332864316644e-17,0.0010173664127282624,True,True,True,0.1198992359765541,41.25175791303627
generic,5,C01,1.0,0.145,7,generic,0,0.1,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.00010172526041666673,0.022585351562499995,0.0024245443474969182,3.4909012037333266e-21,0.0024245443474969182,True,True,True,0.10239754064836956,23.73730572790373
generic,5,C01,1.0,0.145,8,generic,1,0.5,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.004465234375,0.01808676562913726,2.2500536633568206e-20,0.01808676562913726,True,True,True,0.119962260749199,35.08433260396123
generic,5,C01,1.0,0.145,9,generic,2,0.9,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.136747685185185e-05,4.8609707208965125e-08,2.4507032641965203e-19,4.8609707209210195e-08,True,True,True,0.13854168366668945,24.45322323893197
generic,5,C01,1.0,0.145,10,generic,3,0.1,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,3.0517578124999993e-05,0.025433496093749994,0.0012950817791287693,3.564861604164739e-21,0.0012950817791287693,True,True,True,0.1026792391619327,23.511862093931995
generic,5,C01,1.0,0.145,11,generic,4,0.5,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.6998046874999995,0.0005206214916087963,0.005829049293315671,2.3322237828844304e-19,0.005829049293315671,True,True,True,0.19981016417525796,36.9659080139827
generic,6,C01,1.0,0.155,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.07002929687500004,0.0120921875,0.0186880271856238,1.024448358377451e-20,0.0186880271856238,True,True,True,0.03228088609133955,27.54158910305705
generic,6,C01,1.0,0.155,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.018727929687500006,0.03087969864906607,8.514330437785285e-22,0.03087969864906607,True,True,True,0.03528799810487014,33.453660883009434
generic,6,C01,1.0,0.155,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,2,0.0459375,0.091875,0.8082147216796877,0.00011398313847294559,0.00919744450505975,2.090193026913691e-19,0.00919744450505975,True,True,True,0.09178527938545136,124.0235066539608
generic,6,C01,1.0,0.155,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.040058593750000024,0.014940332031249998,0.01366145840819772,8.892429492772288e-21,0.01366145840819772,True,True,True,0.06132229917661708,25.93217265594285
generic,6,C01,1.0,0.155,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.012241373697916672,0.027602726475902433,4.9083354663183795e-23,0.027602726475902433,True,True,True,0.06081001495188029,34.02961821900681
generic,6,C01,1.0,0.155,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0002382730396412037,0.03785451878619554,2.0896408177167135e-19,0.03785451878619554,True,True,True,0.05996728995969736,41.26420331595
generic,6,C01,1.0,0.155,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0028483072916666674,0.0120921875,0.010312134083766704,3.3423274295670925e-21,0.010312134083766704,True,True,True,0.09788903900401508,23.995322447968647
generic,6,C01,1.0,0.155,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.004343164062500001,0.019312415672699375,1.3680627845620614e-20,0.019312415672699375,True,True,True,0.11995788083394696,35.42717359098606
generic,6,C01,1.0,0.155,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,9.58900282118056e-06,0.0010838745664287464,8.622967169602369e-16,0.0010838745664296088,True,True,True,0.11988284659223984,40.90057962294668
generic,6,C01,1.0,0.155,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0014404296875,0.014940332031249998,0.008529602810285168,3.2998443352583736e-21,0.008529602810285168,True,True,True,0.09940543794613868,23.706401158007793
generic,6,C01,1.0,0.155,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0004958990885416666,0.006233987553707566,2.0017501084156326e-19,0.006233987553707566,True,True,True,0.19981034874731662,37.261059829965234
generic,6,C01,1.0,0.155,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.604340277777777e-05,5.2884108566584686e-08,2.1080898236224334e-19,5.28841085667955e-08,True,True,True,0.13855558642037347,23.9817030740669
generic,7,C01,1.0,0.18,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.03558614359224341,6.160556891302682e-21,0.03558614359224341,True,True,True,0.032280886091339424,34.97474021301605
generic,7,C01,1.0,0.18,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,1.0338821411132812e-06,0.033851890882102546,3.960645640178698e-06,0.033855851527742724,True,True,True,0.0524488238388246,88.85144295101054
generic,7,C01,1.0,0.18,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.07002929687500004,0.04791884765624998,0.011422034487178325,2.3223825551535762e-22,0.011422034487178325,True,True,True,0.05483414644074235,27.420591508969665
generic,7,C01,1.0,0.18,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.01165966796875,0.03186761595303062,6.13353815917426e-21,0.03186761595303062,True,True,True,0.060714754125286714,34.962620734004304
generic,7,C01,1.0,0.18,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8400585937499998,1.0659790039062499e-06,0.02544273437516769,1.8813641461470825e-06,0.025444615739313836,True,True,True,0.05997472734784095,44.147351611056365
generic,7,C01,1.0,0.18,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.040058593750000024,0.045070703124999986,0.007642786090095123,9.043752914198873e-22,0.007642786090095123,True,True,True,0.07493554779131477,26.024785582907498
generic,7,C01,1.0,0.18,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.005441145833333332,0.022382090630060945,3.8005331272928097e-23,0.022382090630060945,True,True,True,0.12000173570296,36.21298352291342
generic,7,C01,1.0,0.18,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,6.2205403645833316e-06,0.0012469491994684335,1.0849735363191578e-14,0.0012469491994792834,True,True,True,0.11988284917992711,42.13396775000729
generic,7,C01,1.0,0.18,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0006591796875000003,0.04791884765624998,0.002962822152151546,7.976812226041984e-23,0.002962822152151546,True,True,True,0.10944011673256891,24.4732386469841
generic,7,C01,1.0,0.18,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.001759667968750001,0.007255105767370854,5.327327352571874e-20,0.007255105767370854,True,True,True,0.1998048320398125,37.210484932991676
generic,7,C01,1.0,0.18,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,1.9767361111111115e-05,5.878979681760115e-08,1.375646519771329e-19,5.8789796817738717e-08,True,True,True,0.13855581808095224,24.80072547600139
generic,7,C01,1.0,0.18,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0009033203124999999,0.045070703124999986,0.0036417328074933165,3.1264017860374643e-22,0.0036417328074933165,True,True,True,0.10882332500270271,24.35234840796329
generic,8,C01,1.05,0.14,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.0003427019314236111,0.044973369998057844,2.599270368859345e-19,0.044973369998057844,True,True,True,0.05244929200676676,84.13943817990366
generic,8,C01,1.05,0.14,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07002929687500004,0.025433496093749994,0.017099727933531327,6.974231443907553e-21,0.017099727933531327,True,True,True,0.038044339723310734,25.94382784096524
generic,8,C01,1.05,0.14,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.02139781901041667,0.027313081074155147,4.287173767772871e-23,0.027313081074155147,True,True,True,0.03570039815138981,32.93453212303575
generic,8,C01,1.05,0.14,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.000326380859375,0.0339862021006726,2.5968438183260623e-19,0.0339862021006726,True,True,True,0.05996476619028404,41.53736018901691
generic,8,C01,1.05,0.14,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.060058593750000014,0.022585351562499995,0.01791840982568549,5.8147576498389236e-21,0.01791840982568549,True,True,True,0.04583565171475976,25.889547556987964
generic,8,C01,1.05,0.14,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.013957421874999997,0.024491475322376704,6.801909736363951e-22,0.024491475322376704,True,True,True,0.061522356296303,33.647980820038356
generic,8,C01,1.05,0.14,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,5.412773980034722e-06,0.0009323739342320824,5.66823316851721e-17,0.0009323739342321391,True,True,True,0.11988284981453114,41.71690669993404
generic,8,C01,1.05,0.14,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.017871093750000015,0.025433496093749994,0.01610749694025853,1.949655366829812e-21,0.01610749694025853,True,True,True,0.08540659214016845,25.27193840604741
generic,8,C01,1.05,0.14,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.004928613281249999,0.017214265389223896,1.9158113376531006e-20,0.017214265389223896,True,True,True,0.11991857866344664,35.17577526497189
generic,8,C01,1.05,0.14,9,generic,5,0.9,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.823958333333333e-05,4.77954108795181e-08,2.651623821575773e-19,4.779541087978326e-08,True,True,True,0.1385555553080071,24.326343190972693
