path,name,parent,size_bytes,n_rows,n_cols,columns,has_alpha,has_mach,has_cr,has_ci,has_fields,read_error
assets/classic_supersonic/diagnostics/supersonic_gep_blumen_guided_a020_m120_130_candidates.csv,supersonic_gep_blumen_guided_a020_m120_130_candidates.csv,assets/classic_supersonic/diagnostics,15881,48.0,20.0,alpha | Mach | rank | cand_cr | cand_ci | cand_omega_i | blumen_cr | blumen_ci | err_cr_blumen | err_ci_blumen | score | peak_y | centroid_y | spread_y | phase_span | shooting_cr | shooting_ci | shooting_omega_i | shooting_spectral_success | distance_to_shooting,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_shooting_mach_cont_a0150_M130_150_profiles.csv,supersonic_shooting_mach_cont_a0150_M130_150_profiles.csv,assets/classic_supersonic/diagnostics,3315257,22925.0,9.0,alpha | Mach | y | p_real | p_imag | p_abs | rho_real | rho_imag | rho_abs,True,True,False,False,True,
assets/classic_supersonic/diagnostics/supersonic_shooting_mach_cont_a0150_M130_150_summary.csv,supersonic_shooting_mach_cont_a0150_M130_150_summary.csv,assets/classic_supersonic/diagnostics,2368,5.0,27.0,alpha | Mach | blumen_cr | blumen_ci | seed_source | seed_cr_center | seed_ci_center | used_cr_half_window | used_ci_half_window | retry_index | shooting_cr | shooting_ci | shooting_omega_i | shooting_err_cr_vs_blumen | shooting_err_ci_vs_blumen | stage1_mismatch | stage2_mismatch | spectral_success | mode_success | success | y_limit | centroid_abs_y | spread_abs_y | peak_y | centroid_abs_y_center8 | spread_abs_y_center8 | peak_y_center8,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,assets/classic_supersonic/diagnostics,4862,8.0,32.0,alpha | Mach | n_points | family | cand_cr | cand_ci | cand_omega_i | distance_to_default_shooting | abs_delta_cr_to_default_shooting | abs_delta_ci_to_default_shooting | shooting_stage1_mismatch_at_candidate | shooting_stage2_mismatch_at_candidate | shooting_stage2_ln_p_start_right_at_candidate | overlap_to_reference_high | reference_high_cr | reference_high_ci | reference_peak_y | reference_centroid_y | reference_spread_y | reference_phase_span | default_shooting_cr | default_shooting_ci | default_shooting_omega_i | default_shooting_stage1_mismatch | default_shooting_stage2_mismatch | default_shooting_success | default_shooting_spectral_success | peak_y | peak_amp | centroid_y | spread_y | phase_span,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_shooting_vs_gep_families_a020_m120_130_shooting_sensitivity.csv,supersonic_shooting_vs_gep_families_a020_m120_130_shooting_sensitivity.csv,assets/classic_supersonic/diagnostics,2605,16.0,15.0,alpha | Mach | box_label | cr_min | cr_max | ci_min | ci_max | shooting_cr | shooting_ci | shooting_omega_i | stage1_mismatch | stage2_mismatch | spectral_success | mode_success | success,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,assets/classic_supersonic/diagnostics,1369,4.0,18.0,alpha | Mach | n_points | has_low_family | has_high_family | low_cr | low_ci | low_stage1_mismatch | low_distance_to_default_shooting | high_cr | high_ci | high_stage1_mismatch | high_distance_to_default_shooting | default_shooting_cr | default_shooting_ci | default_stage1_mismatch | default_stage2_mismatch | default_shooting_success,True,True,False,False,False,
assets/classic_supersonic/gep/candidate_modes_near_blumen/supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_candidates.csv,supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_candidates.csv,assets/classic_supersonic/gep/candidate_modes_near_blumen,6358,32.0,13.0,alpha | Mach | n_points | rank_cr | candidate_cr | candidate_ci | candidate_omega_i | err_cr | err_ci | distance_to_blumen | classification | blumen_cr | blumen_ci,True,True,False,False,False,
assets/classic_supersonic/gep/candidate_modes_near_blumen/supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_profiles.csv,supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_profiles.csv,assets/classic_supersonic/gep/candidate_modes_near_blumen,5100516,32032.0,11.0,alpha | Mach | n_points | rank_cr | y | p_real | p_imag | p_abs | rho_real | rho_imag | rho_abs,True,True,False,False,True,
assets/classic_supersonic/gep/candidate_modes_near_blumen/supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_summary.csv,supersonic_candidate_modes_near_blumen_a020_n1001_m120_130_summary.csv,assets/classic_supersonic/gep/candidate_modes_near_blumen,1108,4.0,14.0,alpha | Mach | n_points | n_raw_modes | blumen_cr | blumen_ci | best_cr_candidate_cr | best_cr_candidate_ci | best_cr_err_cr | best_cr_err_ci | nearest_full_candidate_cr | nearest_full_candidate_ci | nearest_full_err_cr | nearest_full_err_ci,True,True,False,False,False,
assets/classic_supersonic/gep/experiment_lasttest_a018_m133/supersonic_gep_lasttest_a018_m133_a0.180_m1.330_N2001_L12.00_box.csv,supersonic_gep_lasttest_a018_m133_a0.180_m1.330_N2001_L12.00_box.csv,assets/classic_supersonic/gep/experiment_lasttest_a018_m133,1562,1.0,60.0,alpha | Mach | n_points | mapping_kind | mapping_L | xi_max | auto_n_points | initial_n_points | max_n_points | core_half_width | min_points_core | center_half_width | min_points_center | tail_points_per_wavelength | tail_fraction_for_spacing | target_source | target_cr | target_ci | gamma_left_real | gamma_left_imag | gamma_right_real | gamma_right_imag | kappa_left | kappa_right | q_left | q_right | left_decay_length | right_decay_length | left_wavelength | right_wavelength | left_box_driver | right_box_driver | left_q_box_enabled | right_q_box_enabled | force_symmetric_half_box | symmetric_half_box | left_box_capped | right_box_capped | left_half_box | right_half_box | y_min | y_max | dy_center | n_points_abs_y_le_1 | n_points_abs_y_le_2 | n_points_abs_y_le_4 | n_points_abs_y_le_8 | left_tail_dy_max | right_tail_dy_max | left_tail_dy_target | right_tail_dy_target | n_points_abs_y_le_core | n_points_abs_y_le_center | core_ok | center_ok | left_tail_ok | right_tail_ok | all_resolution_constraints_ok | n_points_selected | n_points_hit_cap,True,True,False,False,False,
assets/classic_supersonic/gep/experiment_lasttest_a018_m133/supersonic_gep_lasttest_a018_m133_a0.180_m1.330_N2001_L12.00_summary.csv,supersonic_gep_lasttest_a018_m133_a0.180_m1.330_N2001_L12.00_summary.csv,assets/classic_supersonic/gep/experiment_lasttest_a018_m133,457,2.0,15.0,rank_by_ci | alpha | Mach | n_points | mapping_kind | mapping_L | xi_max | target_source | target_cr | target_ci | cr | ci | omega_i | abs_cr | distance_to_target,True,True,True,True,False,
assets/classic_supersonic/gep/experiment_recovered_branch_a020_m120/supersonic_gep_asymptotic_box_autoN1601_L8_a0.200_m1.200_N1601_L8.00_box.csv,supersonic_gep_asymptotic_box_autoN1601_L8_a0.200_m1.200_N1601_L8.00_box.csv,assets/classic_supersonic/gep/experiment_recovered_branch_a020_m120,1422,1.0,56.0,alpha | Mach | n_points | mapping_kind | mapping_L | xi_max | auto_n_points | initial_n_points | max_n_points | core_half_width | min_points_core | center_half_width | min_points_center | tail_points_per_wavelength | tail_fraction_for_spacing | target_source | target_cr | target_ci | gamma_left_real | gamma_left_imag | gamma_right_real | gamma_right_imag | kappa_left | kappa_right | q_left | q_right | left_decay_length | right_decay_length | left_wavelength | right_wavelength | left_box_driver | right_box_driver | left_box_capped | right_box_capped | left_half_box | right_half_box | y_min | y_max | dy_center | n_points_abs_y_le_1 | n_points_abs_y_le_2 | n_points_abs_y_le_4 | n_points_abs_y_le_8 | left_tail_dy_max | right_tail_dy_max | left_tail_dy_target | right_tail_dy_target | n_points_abs_y_le_core | n_points_abs_y_le_center | core_ok | center_ok | left_tail_ok | right_tail_ok | all_resolution_constraints_ok | n_points_selected | n_points_hit_cap,True,True,False,False,False,
assets/classic_supersonic/gep/experiment_recovered_branch_a020_m120/supersonic_gep_asymptotic_box_autoN1601_L8_a0.200_m1.200_N1601_L8.00_summary.csv,supersonic_gep_asymptotic_box_autoN1601_L8_a0.200_m1.200_N1601_L8.00_summary.csv,assets/classic_supersonic/gep/experiment_recovered_branch_a020_m120,1097,5.0,15.0,rank_by_ci | alpha | Mach | n_points | mapping_kind | mapping_L | xi_max | target_source | target_cr | target_ci | cr | ci | omega_i | abs_cr | distance_to_target,True,True,True,True,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor/accepted_points.csv,accepted_points.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor/all_candidates.csv,all_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor,6876,15.0,70.0,candidate_id | candidate_bucket | candidate_source | candidate_label | candidate_order | alpha | Mach | source_file | source_alpha | source_mach | cr_init | ci_init | cr_final | ci_final | omega_i_final | ci_ref | cr_ref | ci_ref_available | cr_ref_available | ci_abs_err | ci_rel_err | cr_abs_err | stage1_mismatch | stage2_mismatch | requested_cr_half_window | requested_ci_half_window | used_cr_half_window | used_ci_half_window | retry_index | y_limit | ln_p_start_right | spectral_success | mode_success | raw_success | raw_status | strict_status | accept | reject_reason_primary | reject_reasons_all | solver_failed | mode_reconstructed | peak_shift | exception | box_robustness_enabled | box_robustness_pass | box_robustness_note | box_robustness_n_variants | box_robustness_max_rel_l2 | box_robustness_max_peak_shift | box_robustness_max_center8_delta | box_robustness_max_edge_growth | box_robustness_min_half_span_gain | box_robustness_p_rel_l2_x1p50 | box_robustness_rho_rel_l2_x1p50 | box_robustness_u_rel_l2_x1p50 | box_robustness_v_rel_l2_x1p50 | box_robustness_max_rel_l2_x1p50 | box_robustness_peak_shift_x1p50 | box_robustness_center8_delta_x1p50 | box_robustness_edge_growth_x1p50 | box_robustness_half_span_gain_x1p50 | box_robustness_p_rel_l2_x2p00 | box_robustness_rho_rel_l2_x2p00 | box_robustness_u_rel_l2_x2p00 | box_robustness_v_rel_l2_x2p00 | box_robustness_max_rel_l2_x2p00 | box_robustness_peak_shift_x2p00 | box_robustness_center8_delta_x2p00 | box_robustness_edge_growth_x2p00 | box_robustness_half_span_gain_x2p00,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor/point_summary.csv,point_summary.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor,797,3.0,24.0,alpha | Mach | n_candidates_discovered | n_candidates_tested | n_accepted | candidate_source_mode | branch_guided_available | existing_candidates_found | branch_guided_candidates_found | blumen_perturb_candidates_found | best_status | best_reject_reason | best_ci_abs_err | best_ci_rel_err | best_box_robustness | best_peak_shift | best_stage1_mismatch | best_stage2_mismatch | accepted_candidate_id | accepted_candidate_source | accepted_cr_final | accepted_ci_final | best_candidate_id | best_candidate_source,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor/rejected_candidates.csv,rejected_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_anchor,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct/accepted_points.csv,accepted_points.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct/all_candidates.csv,all_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct,18343,57.0,70.0,candidate_id | candidate_bucket | candidate_source | candidate_label | candidate_order | alpha | Mach | source_file | source_alpha | source_mach | cr_init | ci_init | cr_final | ci_final | omega_i_final | ci_ref | cr_ref | ci_ref_available | cr_ref_available | ci_abs_err | ci_rel_err | cr_abs_err | stage1_mismatch | stage2_mismatch | requested_cr_half_window | requested_ci_half_window | used_cr_half_window | used_ci_half_window | retry_index | y_limit | ln_p_start_right | spectral_success | mode_success | raw_success | raw_status | strict_status | accept | reject_reason_primary | reject_reasons_all | solver_failed | mode_reconstructed | peak_shift | exception | box_robustness_enabled | box_robustness_pass | box_robustness_note | box_robustness_n_variants | box_robustness_max_rel_l2 | box_robustness_max_peak_shift | box_robustness_max_center8_delta | box_robustness_max_edge_growth | box_robustness_min_half_span_gain | box_robustness_p_rel_l2_x1p50 | box_robustness_rho_rel_l2_x1p50 | box_robustness_u_rel_l2_x1p50 | box_robustness_v_rel_l2_x1p50 | box_robustness_max_rel_l2_x1p50 | box_robustness_peak_shift_x1p50 | box_robustness_center8_delta_x1p50 | box_robustness_edge_growth_x1p50 | box_robustness_half_span_gain_x1p50 | box_robustness_p_rel_l2_x2p00 | box_robustness_rho_rel_l2_x2p00 | box_robustness_u_rel_l2_x2p00 | box_robustness_v_rel_l2_x2p00 | box_robustness_max_rel_l2_x2p00 | box_robustness_peak_shift_x2p00 | box_robustness_center8_delta_x2p00 | box_robustness_edge_growth_x2p00 | box_robustness_half_span_gain_x2p00,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct/point_summary.csv,point_summary.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct,803,3.0,24.0,alpha | Mach | n_candidates_discovered | n_candidates_tested | n_accepted | candidate_source_mode | branch_guided_available | existing_candidates_found | branch_guided_candidates_found | blumen_perturb_candidates_found | best_status | best_reject_reason | best_ci_abs_err | best_ci_rel_err | best_box_robustness | best_peak_shift | best_stage1_mismatch | best_stage2_mismatch | accepted_candidate_id | accepted_candidate_source | accepted_cr_final | accepted_ci_final | best_candidate_id | best_candidate_source,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct/rejected_candidates.csv,rejected_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_grid_direct,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref/accepted_points.csv,accepted_points.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref/all_candidates.csv,all_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref,6876,15.0,70.0,candidate_id | candidate_bucket | candidate_source | candidate_label | candidate_order | alpha | Mach | source_file | source_alpha | source_mach | cr_init | ci_init | cr_final | ci_final | omega_i_final | ci_ref | cr_ref | ci_ref_available | cr_ref_available | ci_abs_err | ci_rel_err | cr_abs_err | stage1_mismatch | stage2_mismatch | requested_cr_half_window | requested_ci_half_window | used_cr_half_window | used_ci_half_window | retry_index | y_limit | ln_p_start_right | spectral_success | mode_success | raw_success | raw_status | strict_status | accept | reject_reason_primary | reject_reasons_all | solver_failed | mode_reconstructed | peak_shift | exception | box_robustness_enabled | box_robustness_pass | box_robustness_note | box_robustness_n_variants | box_robustness_max_rel_l2 | box_robustness_max_peak_shift | box_robustness_max_center8_delta | box_robustness_max_edge_growth | box_robustness_min_half_span_gain | box_robustness_p_rel_l2_x1p50 | box_robustness_rho_rel_l2_x1p50 | box_robustness_u_rel_l2_x1p50 | box_robustness_v_rel_l2_x1p50 | box_robustness_max_rel_l2_x1p50 | box_robustness_peak_shift_x1p50 | box_robustness_center8_delta_x1p50 | box_robustness_edge_growth_x1p50 | box_robustness_half_span_gain_x1p50 | box_robustness_p_rel_l2_x2p00 | box_robustness_rho_rel_l2_x2p00 | box_robustness_u_rel_l2_x2p00 | box_robustness_v_rel_l2_x2p00 | box_robustness_max_rel_l2_x2p00 | box_robustness_peak_shift_x2p00 | box_robustness_center8_delta_x2p00 | box_robustness_edge_growth_x2p00 | box_robustness_half_span_gain_x2p00,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref/point_summary.csv,point_summary.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref,797,3.0,24.0,alpha | Mach | n_candidates_discovered | n_candidates_tested | n_accepted | candidate_source_mode | branch_guided_available | existing_candidates_found | branch_guided_candidates_found | blumen_perturb_candidates_found | best_status | best_reject_reason | best_ci_abs_err | best_ci_rel_err | best_box_robustness | best_peak_shift | best_stage1_mismatch | best_stage2_mismatch | accepted_candidate_id | accepted_candidate_source | accepted_cr_final | accepted_ci_final | best_candidate_id | best_candidate_source,True,True,False,False,False,
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref/rejected_candidates.csv,rejected_candidates.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_manual_modalref,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_wide_retry/accepted_points.csv,accepted_points.csv,assets/classic_supersonic/multicandidate_audits/_dryrun_supersonic_multicandidate_M180_a025_0275_wide_retry,1,,,,False,False,False,False,False,EmptyDataError('No columns to parse from file')
