epoch,train_total,train_modal,train_spec,val_total,val_modal,val_spec,lr
1350,0.029105755405514144,0.02910564143173376,1.1387293182303787e-07,0.030177016832172582,0.030176902950852208,1.1388132037382093e-07,0.0002
1400,0.0286231007795889,0.02862298497319188,1.1573818467868215e-07,0.030615224736357714,0.03061511102447336,1.1371188435305157e-07,0.0002
1450,0.02855547772534314,0.02855536459738582,1.1334118317506409e-07,0.028357844496077995,0.02835773121672232,1.1327935567351233e-07,0.0002
1500,0.028637703731399327,0.028637589748446914,1.1374790171942641e-07,0.029315325756864987,0.029315200047274694,1.2570959029289952e-07,0.0002
1550,0.02826588800225385,0.028265685129478538,2.0260658255412215e-07,0.028841761055416366,0.028841613984737176,1.4707067919061956e-07,0.0002
1600,0.028369859651726004,0.02836974789301705,1.1246880907947694e-07,0.029805589064451618,0.029805476656057914,1.1240839370429967e-07,0.0002
1650,0.027491983624168978,0.027491858372747733,1.2527652014042205e-07,0.027791433440612558,0.027791318641484132,1.1479912842560225e-07,0.0002
1700,0.027971645147705556,0.02797136000569652,2.8520430328085043e-07,0.02890092120227144,0.028900769277277964,1.5192499347449484e-07,0.0002
1750,0.02707361736757419,0.02707295651754016,6.610646813534333e-07,0.028107783974854986,0.028107532793876747,2.511809782390628e-07,0.0002
1800,0.0288080201117201,0.028807908353011145,1.1134068866408578e-07,0.02759884334817728,0.027598732010564373,1.1133761290693656e-07,0.0002
1850,0.030595543114837833,0.030595428677689173,1.1437457533275066e-07,0.029494561508353476,0.029494450241219303,1.1126713417297651e-07,0.0002
1900,0.02741516294503798,0.02741319662640302,1.9664317168371656e-06,0.029301913675418196,0.029301080323101265,8.333523169312684e-07,0.0002
1950,0.02665553475863563,0.026652463572058076,3.071118736031227e-06,0.02590640679658943,0.02590624931527966,1.574813097704464e-07,0.0002
2000,0.026783688682681283,0.026783578716132222,1.1033808187473079e-07,0.026640941670823415,0.026640831325895554,1.1034492786166084e-07,0.0002
2050,0.026169074993493194,0.026168963446240007,1.1161841045309483e-07,0.02565257536691118,0.02565246491095391,1.1045595726955071e-07,0.0002
2100,0.03217636410376614,0.03217625512401066,1.0986421709172897e-07,0.031064050964734722,0.031063941100922452,1.0986381226985031e-07,0.0002
2150,0.025707064112594075,0.02570695421653027,1.0978967283791229e-07,0.025484489814045566,0.02548438012960981,1.0968443575620768e-07,0.0002
2200,0.02575867973649919,0.025756536222320242,2.1434672878181037e-06,0.025973325357519644,0.025972190344738993,1.135012780650868e-06,0.0002
2250,0.025742567882700063,0.02574224025479129,3.273723073837604e-07,0.02468736337122008,0.02468716601659677,1.973546233102752e-07,0.0002
2300,0.026420638575598447,0.026420227561120106,4.111415305823402e-07,0.02545612089920252,0.02545599714107522,1.2375812730169855e-07,0.0002
