final_reference_id,alpha,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.500000_a0.10000000,0.1,0.0020491570154354,0.0102546335911888,1.0502097906560324,0.2956660148047138,0.5119465124616817,0.4693595246656087,0.8980913647206067,0.8702037356197019,0.1772770257262842,0.0022939532915279,0.0102890552735466,0.1927786559824208,0.0455428340468538,0.0263831630023475,0.0223526669292155,0.0885657610231803,0.0724076927607133,0.0009878395821002,off_anchor,0.0002447962760924998,3.442168235780023e-05,-0.8574311346736115,-0.25012318075786,-0.48556334945933416,-0.4470068577363932,-0.8095256036974264,-0.7977960428589885,-0.176289186144184
M1.500000_a0.10500000,0.105,0.0023646034000704,0.0099818391024743,1.043030124063453,0.2927292549154739,0.5472204491192699,0.4939150774624288,0.9370189320767022,0.889250222866096,0.198986561279624,0.0026126183269808,0.0100166854679261,0.1836518473998828,0.0410272403085081,0.02640262148387,0.0227121019120743,0.0856980912803809,0.0744756878766155,0.0010575189936781,off_anchor,0.00024801492691039996,3.48463654518006e-05,-0.8593782766635701,-0.25170201460696584,-0.5208178276354,-0.4712029755503545,-0.8513208407963213,-0.8147745349894805,-0.1979290422859459
M1.500000_a0.11000000,0.11,0.0024992343885363,0.0093029122061027,1.036943011911547,0.2907670821964968,0.5848469763016556,0.5180333082420975,0.9795602863142356,0.9095551127913608,0.2204654953367838,0.0027376827699602,0.0093363504118217,0.1670833844512903,0.0353766211475427,0.0257768775361954,0.0221440054927393,0.0798110741946367,0.0738529855650416,0.0010649143296658,off_anchor,0.00023844838142390032,3.3438205718999345e-05,-0.8698596274602567,-0.2553904610489541,-0.5590700987654602,-0.49588930274935816,-0.8997492121195989,-0.8357021272263192,-0.219400581007118
M1.500000_a0.11500000,0.115,0.0024462653933623,0.0082759977094588,1.0317422160998295,0.289349528439157,0.6213472627106956,0.5406466072896047,1.0208264328608962,0.930153802039818,0.2408438660273276,0.0026636435328581,0.0083063998035846,0.1447841692516888,0.0294432743308076,0.0245038884221008,0.020630702217979,0.0711491134018175,0.0702783702431968,0.0009948940827866,off_anchor,0.00021737813949579974,3.0402094125801457e-05,-0.8869580468481407,-0.2599062541083494,-0.5968433742885948,-0.5200159050716257,-0.9496773194590787,-0.8598754317966212,-0.239848971944541
M1.500000_a0.12000000,0.12,0.0022145954100901,0.0069583867739172,1.026911534427135,0.2883683894705448,0.6582187628870353,0.5618602406626391,1.0625408135749936,0.9507711100516278,0.2596409905711564,0.0024010685412699,0.0069843557725877,0.1184358994901468,0.0237482411651928,0.0229044526675451,0.0181334875589387,0.0607191784892856,0.0632714074436392,0.0008327650086791,off_anchor,0.00018647313117980003,2.596899867049994e-05,-0.9084756349369881,-0.26462014830535197,-0.6353143102194901,-0.5437267531037003,-1.001821635085708,-0.8874997026079886,-0.2588082255624773
M1.500000_a0.12500000,0.125,0.0018242660587322,0.0054082765993885,1.0219794378923417,0.2874635026857628,0.6975837042903136,0.5821580987470664,1.1055204653169772,0.9710531378319384,0.2764282174925329,0.0019717279499065,0.0054286762890628,0.0897328350703318,0.018313581753574,0.0224358263081566,0.0147102858737381,0.0487791287568223,0.0526125353382815,0.0005947197689691,off_anchor,0.00014746189117430014,2.0399689674300246e-05,-0.9322466028220099,-0.2691499209321888,-0.675147877982157,-0.5674478128733282,-1.056741336560155,-0.9184406024936569,-0.2758334977235638
M1.500000_a0.13000000,0.13,0.0013028929092923,0.0036869188041048,1.0171125604152886,0.2863301961619836,0.7352356788756335,0.6003757727873292,1.1451352690379202,0.989265584841695,0.290314307646522,0.0014052042820493,0.0037008551151113,0.0604897511965604,0.012855385219679,0.0218936975551284,0.0104649894757884,0.0348146756795311,0.0382167496901977,0.0003250246119744,off_anchor,0.00010231137275700007,1.393631100650005e-05,-0.9566228092187282,-0.2734748109423046,-0.7133419813205051,-0.5899107833115408,-1.110320593358389,-0.9510488351514973,-0.2899892830345476
M1.500000_a0.13500000,0.135,0.0006833406558616,0.0018603301768978,1.01188348902363,0.2846861061791015,0.7754876376983462,0.6174076097994305,1.183588458371363,1.0049155074573612,0.3009947111826664,0.0007362397780997,0.0018672107880791,0.0328455071331241,0.0071615531074045,0.0241641658148019,0.0057421540835311,0.01846807402287,0.020361496762761,9.842355199440878e-05,off_anchor,5.289912223809998e-05,6.880611181300138e-06,-0.9790379818905058,-0.277524553071697,-0.7513234718835443,-0.6116654557158995,-1.165120384348493,-0.9845540106946002,-0.300896287630672
M1.500000_a0.14000000,0.14,1.6441732987870772e-06,4.876517688962023e-07,1.0065130745152264,0.2822245094799627,0.8161781313486494,0.6326656923345897,1.2177327505124704,1.0163800983851852,0.3078159069257881,2.8958708390702803e-06,1.4539900991539234e-08,0.013838758098088,0.0024795141217969,0.027834414245956,0.0027609836849339,0.0020379055424926,0.00311505144263,4.276021705384991e-06,S4M4_added_anchor,1.2516975402832031e-06,-4.731118679046631e-07,-0.9926743164171384,-0.27974499535816577,-0.7883437171026934,-0.6299047086496558,-1.2156948449699778,-1.0132650469425553,-0.3078116309040827
M1.500000_a0.14500000,0.145,0.0007042795384913,0.0018147553540925,1.001353126782842,0.2786541594597085,0.8546814910318994,0.6456370577502358,1.244687971934169,1.0221413973080855,0.3102683258125375,0.0007548540795832,0.0018225225843648,0.0245673172799329,0.0065504879671128,0.0303239839516523,0.0067055993428151,0.0215923635197425,0.0238272514614663,0.0001212754367119,off_anchor,5.057454109189997e-05,7.76723027230003e-06,-0.976785809502909,-0.27210367149259573,-0.8243575070802471,-0.6389314584074207,-1.2230956084144264,-0.9983141458466193,-0.3101470503758256
