final_reference_id,alpha,cr_abs_error_S4M2,ci_abs_error_S4M2,kappa_nrmse_S4M2,q_nrmse_S4M2,log_amp_rmse_S4M2,amplitude_rel_l2_S4M2,phase_rmse_S4M2,pressure_rel_l2_S4M2,pressure_overlap_error_S4M2,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4M2,delta_ci_abs_error_S4M4_minus_S4M2,delta_kappa_nrmse_S4M4_minus_S4M2,delta_q_nrmse_S4M4_minus_S4M2,delta_log_amp_rmse_S4M4_minus_S4M2,delta_amplitude_rel_l2_S4M4_minus_S4M2,delta_phase_rmse_S4M4_minus_S4M2,delta_pressure_rel_l2_S4M4_minus_S4M2,delta_pressure_overlap_error_S4M4_minus_S4M2
M1.500000_a0.15000000,0.15,0.0013248629073997,0.0034614288441944,0.3233294286580326,0.1740230602700383,0.1425148358418402,0.0654791419011447,0.7576783775394286,0.5663944180541365,0.1252724080679698,0.0014963156680961,0.0035177217058944,0.0421090793567084,0.0125861857472146,0.0343855042686409,0.0119456149703527,0.0433833482917418,0.047183528031257,0.0004868108712069,off_anchor,0.00017145276069639986,5.629286169999987e-05,-0.2812203493013242,-0.1614368745228237,-0.10812933157319929,-0.053533526930792004,-0.7142950292476867,-0.5192108900228795,-0.1247855971967629
M1.500000_a0.15500000,0.155,0.0019299926768503,0.0049243532675453,0.3173264742285088,0.1677376068276322,0.1054337328619913,0.0604659494675184,0.7643782900015743,0.5161234475025117,0.1070059972472087,0.0021811368476114,0.0050015338319488,0.0560551688310923,0.0180484817869485,0.0374053021805184,0.0167912613957773,0.0644639772043086,0.0695005410197903,0.0010701970085654,off_anchor,0.00025114417076110016,7.718056440349924e-05,-0.2612713053974165,-0.14968912504068368,-0.0680284306814729,-0.043674688071741095,-0.6999143127972657,-0.4466229064827214,-0.10593580023864331
M1.500000_a0.16000000,0.16,0.0024438807118341,0.0060989140183955,0.3188569780473747,0.1613310099784999,0.0743438313597091,0.0640346779849553,0.7700402479876031,0.4520282015921493,0.0855851604937995,0.0027702161419793,0.0061931079835922,0.0651871797657279,0.0223456700815989,0.0388041320891333,0.0207679877514731,0.0828989930873344,0.0888812368750654,0.001764094413293,off_anchor,0.0003263354301451999,9.41939651966997e-05,-0.25366979828164676,-0.13898533989690098,-0.03553969927057579,-0.043266690233482195,-0.6871412549002687,-0.3631469647170839,-0.08382106608050649
M1.500000_a0.16500000,0.165,0.0028350023143485,0.0069145132515361,0.3274262008998275,0.1554793976601832,0.0757796801405391,0.0735628183708555,0.7772414000879879,0.3780944038773553,0.0636598639282183,0.0032271412723258,0.0070206169698169,0.0693316842731331,0.0250903948878874,0.0382704823374646,0.0235474989461989,0.0967849244265125,0.1035144405097411,0.00240353969046,off_anchor,0.0003921389579773001,0.00010610371828080004,-0.25809451662669436,-0.13038900277229581,-0.0375091978030745,-0.050015319424656604,-0.6804564756614754,-0.27457996336761425,-0.06125632423775831
M1.500000_a0.17000000,0.17,0.0030760458572467,0.0073161814884273,0.3403233315440329,0.1506572561499379,0.114126079186064,0.0849184218000255,0.7885203175156489,0.3027653724571649,0.0440935272449186,0.0035192361934741,0.0074280519560901,0.0687497612776128,0.0260748046790841,0.0364787826496939,0.024913096536308,0.1045597662897478,0.1118844630213836,0.0028134050060271,off_anchor,0.00044319033622739964,0.0001118704676628,-0.2715735702664201,-0.12458245147085381,-0.0776472965363701,-0.0600053252637175,-0.683960551225901,-0.1908809094357813,-0.0412801222388915
M1.500000_a0.17500000,0.175,0.0031454911055334,0.0072716303298085,0.3540297904244078,0.1469678842303194,0.1646233774699547,0.0952451936365034,0.8022473480123107,0.2419588755591552,0.0292696585419814,0.0036193480314977,0.0073824167379945,0.064045322470207,0.0252813449910719,0.0320765367079366,0.0247789099124075,0.1052227619477283,0.1129922341869874,0.0028695617655623,off_anchor,0.00047385692596429996,0.00011078640818599963,-0.2899844679542008,-0.1216865392392475,-0.13254684076201811,-0.0704662837240959,-0.6970245860645824,-0.12896664137216782,-0.0264000967764191
M1.500000_a0.18000000,0.18,0.0030294537824862,0.0067782625658449,0.3648610290423949,0.1441511844766008,0.2151080976645478,0.1030550856073354,0.817270496639135,0.2186652148418005,0.0204777730569334,0.003507959870743,0.0068808943135675,0.0560154560834018,0.0228863279945777,0.0264954405456716,0.0231817033575217,0.0984185148284597,0.1064493213451727,0.0025435623687752,off_anchor,0.00047850608825679994,0.00010263174772260058,-0.3088455729589931,-0.1212648564820231,-0.1886126571188762,-0.07987338224981369,-0.7188519818106753,-0.11221589349662779,-0.0179342106881582
M1.500000_a0.18500000,0.185,0.0027239434314809,0.0058691010738605,0.3699965384521704,0.1415078959012264,0.260055326483998,0.1078178140560632,0.8312858582472741,0.2419441802204245,0.0176708356052075,0.0031758658481679,0.0059570104743236,0.0456233818078733,0.0191964429795476,0.0207273359698682,0.0203629330376399,0.0851102050963814,0.0928127357994836,0.0019341917513129,off_anchor,0.000451922416687,8.790940046309991e-05,-0.3243731566442971,-0.12231145292167879,-0.23932799051412978,-0.08745488101842329,-0.7461756531508927,-0.1491314444209409,-0.015736643853894602
M1.500000_a0.19000000,0.19,0.0022371487724256,0.0046157847866793,0.3680037509725543,0.1383821911813766,0.2963640556085576,0.1094623528265167,0.8393448576602722,0.2916736119217636,0.0195822241634825,0.0026274399864149,0.004683730356433,0.0338847764897499,0.0146431237171256,0.0155882980942085,0.0166393577625931,0.0663999558914483,0.0731322680722876,0.0012081042713241,off_anchor,0.0003902912139892999,6.794556975369976e-05,-0.33411897448280437,-0.12373906746425099,-0.28077575751434913,-0.09282299506392361,-0.7729449017688239,-0.218541343849476,-0.0183741198921584
M1.500000_a0.19500000,0.195,0.0015919002681836,0.0031267660898947,0.3584244709850733,0.1341660163178547,0.3222288708176665,0.1082272292532871,0.8378688147422286,0.3452489545979992,0.0242641783653159,0.0018840822368725,0.0031716837776684,0.0218750152944251,0.0097147538358802,0.0130385749150991,0.0124876573532845,0.0440700795105508,0.0491178439655267,0.0005592371038991,off_anchor,0.0002921819686889,4.491768777369976e-05,-0.3365494556906482,-0.12445126248197451,-0.3091902959025674,-0.0957395719000026,-0.7937987352316779,-0.2961311106324725,-0.023704941261416798
