Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated
1.65,0.1,300,0.0377222883641173,0.3962507721001005,-8.169971643656737e-12,-2.98743443177818e-11,-2000.8333982535514,530.9084782368033,-0.20756821211990625,0.006908257239460422,3.097135588048313e-11,-0.02377526536586346,-0.02607937231511398,1960.8333982535514,1.0000000000000004e-06,0.7637085519485705,1.0,0.025,0.006908257239460422,0.02607937231511398,3801,40.0,0.00377222883641173,490.90847823680326,1.0000000000000004e-06,0.363154984467438,-0.743356542277257,1e-06,2026-07-24T06:53:10.790046+00:00,converged,,2026-07-24T06:53:10.800765+00:00
1.65,0.105,300,0.0371089849032892,0.3989705265231846,-6.284668965794715e-12,-1.4578336801629455e-11,-1937.9964974576583,492.52918264693193,-0.2184686550845601,0.007132552728639948,1.587529426219769e-11,-0.023810041981017032,-0.02811649429012019,1897.9964974576583,1.0000000000000004e-06,0.7573343381151058,1.0,0.025,0.007132552728639948,0.02811649429012019,3801,40.0,0.003896443414845366,452.52918264693193,1.0000000000000004e-06,0.3355526590492753,-0.8140259168854656,1e-06,2026-07-23T12:04:54.192801+00:00,converged,,2026-07-23T12:04:54.203009+00:00
1.65,0.11,300,0.0364103847627366,0.401590287351073,-3.097085435332936e-11,-3.701372368325462e-11,-1886.287651509568,458.6221956203382,-0.22939836990666196,0.0073284019035126475,4.826188517117275e-11,-0.02376626262006071,-0.03020064852805224,1846.287651509568,1.0000000000000004e-06,0.7518844541684201,1.0,0.025,0.0073284019035126475,0.03020064852805224,3801,40.0,0.004005142323901026,418.6221956203382,1.0000000000000004e-06,0.3094840379072138,-0.8876761437832486,1e-06,2026-07-23T12:04:54.366118+00:00,converged,,2026-07-23T12:04:54.376495+00:00
1.65,0.115,300,0.0356340166933869,0.4041155318000812,-6.890370218837205e-12,-1.694968644605499e-11,-1844.4225626947514,428.48468328543026,-0.24035576544402723,0.007495086468933373,1.8296695668131416e-11,-0.0236469094222432,-0.032330768363077744,1804.4225626947514,1.0000000000000004e-06,0.7473606413514262,1.0,0.025,0.007495086468933373,0.032330768363077744,3801,40.0,0.004097911919739494,388.48468328543026,1.0000000000000004e-06,0.28493270481264993,-0.9642948259866436,1e-06,2026-07-23T12:04:54.522249+00:00,converged,,2026-07-23T12:04:54.532528+00:00
1.65,0.12,300,0.0347865652913392,0.4065514167806345,-8.396169176583257e-12,-1.8478496510709874e-11,-1811.4260776077297,401.55022863836973,-0.25133938341583945,0.007631976031624699,2.0296563505631285e-11,-0.023454805097578385,-0.03450588729956516,1771.4260776077297,1.0000000000000004e-06,0.7437657157933211,1.0,0.025,0.007631976031624699,0.03450588729956516,3801,40.0,0.004174387834960704,361.55022863836973,1.0000000000000004e-06,0.26187208609879803,-1.0438699235695421,1e-06,2026-07-23T12:04:54.688791+00:00,converged,,2026-07-23T12:04:54.699264+00:00
1.65,0.125,300,0.0338739918486313,0.4089027908363268,-9.20812037730201e-12,-2.1159900220890648e-11,-1786.5741090689983,377.35771973350285,-0.2623478860222385,0.007738517222806413,2.307663013182238e-11,-0.02319262612553361,-0.03672512434713733,1746.5741090689983,1.0000000000000004e-06,0.7411022055159628,1.0,0.025,0.007738517222806413,0.03672512434713733,3801,40.0,0.004234248981078913,337.35771973350285,1.0000000000000004e-06,0.24026654895319385,-1.1263896172586132,1e-06,2026-07-23T12:04:54.844552+00:00,converged,,2026-07-23T12:04:54.854906+00:00
1.65,0.13,300,0.0329016327445327,0.4111742075696133,-3.966793907239641e-11,-4.875889362404573e-11,-1769.3540493657968,355.5284167492646,-0.2733800446437745,0.007814224126560644,6.285678243190913e-11,-0.022862913899171576,-0.03898767057093983,1729.3540493657968,1.0000000000000004e-06,0.7393747206677028,1.0,0.025,0.007814224126560644,0.03898767057093983,3801,40.0,0.004277212256789251,315.5284167492646,1.0000000000000004e-06,0.22007374374097585,-1.2118421679290141,1e-06,2026-07-23T12:04:55.000740+00:00,converged,,2026-07-23T12:04:55.010913+00:00
1.65,0.135,300,0.0318742835335322,0.41336994152482,-2.7001175600949168e-11,-3.0602609855934215e-11,-1759.4380227189251,335.74859139958653,-0.2844347299481538,0.007858670580546371,4.0811557356070286e-11,-0.02246808503508958,-0.041292778844185224,1719.4380227189251,1.0000000000000004e-06,0.73858908565065,1.0,0.025,0.007858670580546371,0.041292778844185224,3801,40.0,0.004303028277026847,295.74859139958653,1.000000000000002e-06,0.20124556909967892,-1.3002158260716126,1e-06,2026-07-23T12:04:55.157160+00:00,converged,,2026-07-23T12:04:55.167194+00:00
1.65,0.14,300,0.030796267900056,0.4154940034661983,-1.6685187953502378e-11,-2.785198113808285e-11,-1756.6674679762066,317.75638688564015,-0.29551090276281294,0.007871483219767873,3.246734282875369e-11,-0.022010440007418808,-0.04363975414167477,1716.6674679762066,1.0000000000000004e-06,0.7387531916977164,1.0,0.025,0.007871483219767873,0.04363975414167477,3801,40.0,0.004311477506007841,277.75638688564015,1.0000000000000004e-06,0.1837296081696356,-1.3914987331268767,1e-06,2026-07-23T12:04:55.312499+00:00,converged,,2026-07-23T12:04:55.322656+00:00
1.65,0.145,300,0.0296714980138063,0.4175501567121178,-9.47379674709481e-12,-2.489482665152254e-11,-1761.0469448548645,301.331668132702,-0.30660760611125526,0.007852336020419707,2.6636539167365964e-11,-0.02149217155737488,-0.04602794653918033,1721.0469448548645,1.0000000000000004e-06,0.7398767652877112,1.0,0.025,0.007852336020419707,0.04602794653918033,3801,40.0,0.004302367212001913,261.331668132702,1.0000000000000004e-06,0.1674700904469376,-1.4856788681103166,1e-06,2026-07-23T12:04:55.469879+00:00,converged,,2026-07-23T12:04:55.479970+00:00
1.65,0.15,300,0.028503524501809,0.4195419325488178,-1.9728867844959197e-11,-1.9092596427461306e-11,-1772.7018465130573,286.28085153964184,-0.31772395792726177,0.007800945304882374,2.7454607350784915e-11,-0.020915371731340095,-0.04845674467109364,1732.7018465130573,1.0000000000000004e-06,0.7417090536848447,1.0,0.025,0.007800945304882374,0.04845674467109364,3801,40.0,0.00427552867527135,246.28085153964187,1.000000000000002e-06,0.15235495999070406,-1.5827439938811083,1e-06,2026-07-23T12:04:55.630725+00:00,converged,,2026-07-23T12:04:55.640861+00:00
1.65,0.155,300,0.0272955794891602,0.4214726453671246,-1.8534826451421793e-11,-2.342766432239518e-11,-1791.9945976261904,272.4485587262998,-0.32885914456675125,0.007717065518861881,2.987298524063427e-11,-0.02028203832414336,-0.05092557053663642,1751.9945976261904,1.0000000000000004e-06,0.7443429028561943,1.0,0.025,0.007717065518861881,0.05092557053663642,3801,40.0,0.004230814820819831,232.44855872629978,1.0000000000000004e-06,0.1383546331894979,-1.6826816250177163,1e-06,2026-07-23T12:04:55.786000+00:00,converged,,2026-07-23T12:04:55.796132+00:00
