Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated
1.7,0.1,300,0.0336152959532578,0.4148252797640019,-1.1408101893706224e-11,-2.2992337200822277e-11,-2200.0682811499005,546.9483527642594,-0.21876204585862952,0.006282979125086437,2.5666950710466165e-11,-0.022457582201939774,-0.02531379974457921,2160.0682811499005,9.999999999999987e-07,0.7836078001292885,1.0,0.025,0.006282979125086437,0.02531379974457921,3801,40.0,0.0033615295953257802,506.9483527642595,1.0000000000000004e-06,0.3742910875837701,-0.7388748365074039,1e-06,2026-07-24T06:53:10.847873+00:00,converged,,2026-07-24T06:53:10.858662+00:00
1.7,0.105,300,0.0330759368401351,0.4173346821643851,-1.2635495080792758e-11,-2.1632307056762556e-11,-2130.356512778528,506.5767198560214,-0.23019194986454317,0.006488896956288847,2.505219440557647e-11,-0.02246325088362673,-0.02733601193843852,2090.356512778528,1.0000000000000004e-06,0.777709245853496,1.0,0.025,0.006488896956288847,0.02733601193843852,3801,40.0,0.0034729733682141856,466.5767198560214,1.0000000000000004e-06,0.34605284866476094,-0.8097612291454725,1e-06,2026-07-23T12:05:47.845917+00:00,converged,,2026-07-23T12:05:47.856283+00:00
1.7,0.11,300,0.0324516348625227,0.4197574022504138,-5.837630726035492e-12,-1.897134272593748e-11,-2073.4776691940133,470.98480788462376,-0.241650629457644,0.006667238711915075,1.9849175733982874e-11,-0.02239119413564347,-0.02940709653748622,2033.4776691940135,1.000000000000002e-06,0.7727269537478308,1.0,0.025,0.006667238711915075,0.02940709653748622,3801,40.0,0.003569679834877497,430.98480788462376,1.0000000000000004e-06,0.31934006602655063,-0.8836691842120814,1e-06,2026-07-23T12:05:48.013170+00:00,converged,,2026-07-23T12:05:48.023474+00:00
1.7,0.115,300,0.0317496256303763,0.4220976974978769,-4.6994370200836855e-12,-1.691234652323459e-11,-2027.9707768540898,439.41263941663266,-0.2531365694388362,0.006817210046294315,1.755312431528069e-11,-0.022244339561260974,-0.0315258671449679,1987.9707768540898,1.0000000000000004e-06,0.7686679430895997,1.0,0.025,0.006817210046294315,0.0315258671449679,3801,40.0,0.003651206947493275,399.41263941663266,1.0000000000000004e-06,0.29414549541466395,-0.9605845454394855,1e-06,2026-07-23T12:05:48.177681+00:00,converged,,2026-07-23T12:05:48.188207+00:00
1.7,0.12,300,0.0309763785020722,0.4243596505971577,-9.851426965856724e-12,-2.0146384560604247e-11,-1992.740531954193,411.2490158626351,-0.2646483769233139,0.0069381135741696,2.2426043434528575e-11,-0.022025467061081806,-0.03369124646087885,1952.740531954193,1.0000000000000004e-06,0.7655391161376606,1.0,0.025,0.0069381135741696,0.03369124646087885,3801,40.0,0.0037171654202486637,371.2490158626351,1.0000000000000004e-06,0.27044988492008404,-1.0404934997957949,1e-06,2026-07-23T12:05:48.344380+00:00,converged,,2026-07-23T12:05:48.354741+00:00
1.7,0.125,300,0.0301376975396052,0.4265471598376808,-4.691810134849206e-11,-4.9400898302631724e-11,-1966.9910556610703,385.9974406436776,-0.2761847705513498,0.007029336685560623,6.813044097357902e-11,-0.02173721915472764,-0.035902249678801026,1926.9910556610703,1.0000000000000004e-06,0.7633477096637185,1.0,0.025,0.007029336685560623,0.035902249678801026,3801,40.0,0.00376721219245065,345.9974406436776,1.0000000000000004e-06,0.2482239153369769,-1.123382418090104,1e-06,2026-07-23T12:05:48.533858+00:00,converged,,2026-07-23T12:05:48.544208+00:00
1.7,0.13,300,0.029238807814941,0.4286639360949106,-2.3775238722212322e-11,-3.561742567548265e-11,-1950.1545915677314,363.24597452671566,-0.2877445708209138,0.007090341480603292,4.2823626516757254e-11,-0.021382110540298302,-0.038157971222319155,1910.1545915677314,1.0000000000000004e-06,0.7619592343105084,1.0,0.025,0.007090341480603292,0.038157971222319155,3801,40.0,0.0038010450159423298,323.24597452671566,1.0000000000000004e-06,0.22738743272752154,-1.2092377412366,1e-06,2026-07-23T12:05:48.695860+00:00,converged,,2026-07-23T12:05:48.706479+00:00
1.7,0.135,300,0.0282844270120357,0.4307135025933534,-1.2046551256528204e-11,-2.6879481279662443e-11,-1941.8999849111995,342.6560583243664,-0.29932669099798126,0.007120655848164327,2.945549033779416e-11,-0.020962536319567498,-0.04045757240278418,1901.8999849111995,1.0000000000000004e-06,0.7612942696306488,1.0,0.025,0.007120655848164327,0.04045757240278418,3801,40.0,0.0038183976466248195,302.6560583243664,1.000000000000002e-06,0.20788272816786593,-1.2980458573822513,1e-06,2026-07-23T12:05:48.878569+00:00,converged,,2026-07-23T12:05:48.889042+00:00
1.7,0.14,300,0.0272788284589627,0.4326991990780491,-2.2255565446105408e-11,-2.3858985100100316e-11,-1942.1558477494718,323.9538538746721,-0.3109301292088313,0.007119866321899864,3.262761657450158e-11,-0.020480779961321166,-0.04280027248456845,1902.1558477494718,1.0000000000000004e-06,0.7615380059505505,1.0,0.025,0.007119866321899864,0.04280027248456845,3801,40.0,0.003819035984254778,283.9538538746721,1.0000000000000004e-06,0.18971957102227463,-1.3897930405170527,1e-06,2026-07-23T12:05:49.064500+00:00,converged,,2026-07-23T12:05:49.074794+00:00
1.7,0.145,300,0.0262258940125742,0.4346241871849611,-1.7308772470858713e-11,-2.6872865911686805e-11,-1951.0273466934993,306.90413946096277,-0.3225539611241171,0.007087611725494765,3.1964738803178966e-11,-0.019939020236311358,-0.04518534056765021,1911.0273466934993,1.0000000000000004e-06,0.7626998337418407,1.0,0.025,0.007087611725494765,0.04518534056765021,3801,40.0,0.003802754631823259,266.90413946096277,1.000000000000002e-06,0.1728456779587032,-1.4844653897067837,1e-06,2026-07-23T12:05:49.228047+00:00,converged,,2026-07-23T12:05:49.238762+00:00
1.7,0.15,300,0.0251291595710998,0.4364914566474787,-5.949931519699803e-12,-2.6343448256138657e-11,-1968.840213566073,291.3082440081277,-0.33419733320771683,0.007023577718069478,2.7007016701460606e-11,-0.019339337698375727,-0.04761208856407234,1928.840213566073,1.0000000000000004e-06,0.7647919734659027,1.0,0.025,0.007023577718069478,0.04761208856407234,3801,40.0,0.00376937393566497,251.3082440081277,1.0000000000000004e-06,0.15720569256961187,-1.582048775122566,1e-06,2026-07-23T12:05:49.392498+00:00,converged,,2026-07-23T12:05:49.402728+00:00
1.7,0.155,300,0.0239918542277745,0.4383038326670098,-2.5175337509120155e-11,-2.25248240198761e-11,-1996.1653890593461,276.99726943452197,-0.34585945667499807,0.006927492048431789,3.378113846252816e-11,-0.018683720423549148,-0.05007986547703131,1956.1653890593461,1.0000000000000004e-06,0.7678273468950217,1.0,0.025,0.006927492048431789,0.05007986547703131,3801,40.0,0.0037187374053050475,236.997269434522,1.000000000000002e-06,0.1427416128540007,-1.6825288064214916,1e-06,2026-07-23T12:05:49.594915+00:00,converged,,2026-07-23T12:05:49.605458+00:00
