point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note,reference_role,selected_setting,cr_range,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,max_core_rel_l2_amp_ge_5pct,max_tail_rel_l2_amp_0p1pct_to_2pct,note,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,campaign_target_status,source_file,touches_ci_upper_0p12,touches_cr_lower_0,boundary_flag,tail_polish_available,tail_polish_version,tail_polish_note
M1.30_a0.125000,1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.150000,1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.162500,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.175000,1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.183333,1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.191667,1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.200000,1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0114810158991341,1.6726103028849283e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M13_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.225000,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.0079547227970437,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0183502648700106,1.5485891781714665e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.33_a0.180000,1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0029902678212216,1.3042589531394374e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.100000,1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0083962628131086,2.0046362322329786e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.125000,1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.137500,1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0016248557187462,6.237268754360609e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.150000,1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.162500,1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0009231956973406,1.3332772273236985e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.168750,1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0006446884127008,7.4935395227477695e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.40_a0.175000,1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,4.406057886329088e-06,9.000934100903454e-24,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
