t401_id,atlas_chart,Mach,alpha,status,n_modal_points,pressure_rel_l2,amplitude_rel_l2,pressure_overlap,alignment_real,alignment_imag,kappa_abs_mean,q_abs_mean
13,C00,1.05,0.115,OK,1201,0.6408002208218627,0.2598941563172496,0.7677076767850195,0.638689223610966,-0.05696113317893549,0.008896959945559502,0.03330816328525543
14,C00,1.1,0.095,OK,1201,0.6081923836952169,0.25290181022473823,0.793789660058085,0.6331643364533383,-0.042441037052522,0.00868486799299717,0.024742817506194115
15,C00,1.1,0.11,OK,1201,0.689358660047356,0.32489754955990713,0.7244202080406883,0.5606253538175376,0.015159014409267216,0.00855991244316101,0.029791001230478287
16,C00,1.15,0.06,OK,1201,0.47076850388205455,0.16497837305713053,0.882256774274163,0.7433580739132837,-0.03008902566510827,0.007691219914704561,0.01909046620130539
17,C00,1.15,0.075,OK,1201,0.533349825962015,0.19385726915833595,0.8458947707287762,0.7170028352554155,-0.001396450982565413,0.008229508996009827,0.019698334857821465
18,C00,1.15,0.08,OK,1201,0.5601364944995921,0.2133483605070971,0.8284003304741662,0.6941280818338131,0.010307362475818108,0.008480329066514969,0.020513352006673813
19,C00,1.15,0.09,OK,1201,0.6147946207936987,0.25561367687769376,0.7886872474201239,0.6460548417603239,0.030798304173440167,0.00885713566094637,0.022654158994555473
20,C00,1.15,0.105,OK,1201,0.6930173784038501,0.3245781223487562,0.7209208786200154,0.5712000846602452,0.05653911158118871,0.009004169143736362,0.02616887539625168
21,C00,1.15,0.115,OK,1201,0.73833884390941,0.3709122639875528,0.6744299456389194,0.5227556240541807,0.07025313499538889,0.008911157958209515,0.028088191524147987
22,C00,1.2,0.05,OK,1201,0.4769970254743276,0.14090934566216795,0.8789049082174043,0.799757477785167,0.014070273973749868,0.007541593164205551,0.02280011773109436
23,C00,1.2,0.065,OK,1201,0.5305720689925626,0.18215930386274254,0.8476398289397158,0.7427550168906248,0.03926949877630577,0.007755922619253397,0.01998770423233509
24,C00,1.2,0.08,OK,1201,0.5973925964642628,0.23507821662181388,0.8019489296019333,0.6776992011901987,0.06133481291384339,0.00842670351266861,0.020043184980750084
25,C00,1.2,0.09,OK,1201,0.645615640136488,0.27616299281054835,0.763662520496556,0.6305008069978029,0.07589486778097082,0.008958406746387482,0.021220916882157326
26,C00,1.2,0.1,OK,1201,0.6921597978237103,0.31958317801626834,0.7217442859327949,0.582515925745025,0.08908796384365604,0.009292734786868095,0.02243325673043728
27,C00,1.2,0.115,OK,1201,0.7522736050440858,0.3833751900562694,0.6588508352836593,0.5145898561788274,0.10489157182947088,0.00971678551286459,0.024648290127515793
28,C01,1.0,0.135,OK,1201,0.43135115169948757,0.16457713101399377,0.9021841186407162,0.6379837293161742,-0.3299532787886906,0.010434498079121113,0.059720560908317566
29,C01,1.0,0.14,OK,1201,0.44108987428266033,0.17486461542761925,0.8974629367307079,0.6225592482133766,-0.3284618113951897,0.010361341759562492,0.0615650974214077
30,C01,1.0,0.15,OK,1201,0.45818363017619246,0.19683487320285795,0.8888575594765263,0.5935841040548476,-0.32133732269387316,0.009694279171526432,0.06469861418008804
31,C01,1.0,0.16,OK,1201,0.474649683760376,0.22202067003212753,0.8801747995177861,0.5657440964508048,-0.30850339574050045,0.00856111478060484,0.06714294105768204
32,C01,1.0,0.165,OK,1201,0.4839188095048318,0.23654765028167538,0.8751128988921516,0.5515173761177625,-0.2997363860886327,0.008254042826592922,0.0681663304567337
33,C01,1.0,0.175,OK,1201,0.5077209385625123,0.27179532257431593,0.8615215891347126,0.5204838343348616,-0.27620106685899737,0.008470609784126282,0.06994945555925369
34,C01,1.0,0.195,OK,1201,0.5447668252522607,0.3676023606857408,0.8385875661519034,0.4802293874282179,-0.15607750822722868,0.009281422942876816,0.07278697937726974
35,C01,1.0,0.205,OK,1201,0.5327562227632657,0.37882774755592263,0.8462687558376579,0.49257753696599393,-0.11640831605028876,0.009503060020506382,0.07381652295589447
36,C01,1.0,0.215,OK,1201,0.5337746189956064,0.3922969780897845,0.8456267829935941,0.49713911221502466,-0.0780615455955335,0.009515698999166489,0.07449094206094742
