alpha,Mach,ci_pinn_stage0,ci_reference_anchor_interp,ci_abs_err_anchor_interp
0.3076666666666667,0.5,0.4392258,0.43994878332682785,0.0007229904420011923
0.31000000000000005,0.5,0.43697217,0.4378991101927305,0.0009269391245389502
0.31233333333333335,0.5,0.43472597,0.43584943705863316,0.0011234670288022275
0.31466666666666665,0.5,0.43248728,0.4337997639245358,0.00131248474782375
0.31700000000000006,0.5,0.43025586,0.43175009079043836,0.0014942307001826194
0.31933333333333336,0.5,0.4280318,0.42970041765634104,0.001668615478911839
0.32166666666666666,0.5,0.42581505,0.42765074452224366,0.0018356986886560178
0.32400000000000007,0.5,0.42360556,0.42560107138814623,0.0019955101317375434
0.32633333333333336,0.5,0.42140317,0.4235513982540489,0.0021482286220909086
0.32866666666666666,0.5,0.41920802,0.42150172511995154,0.0022937051481040083
0.331,0.5,0.41701984,0.41945205198585417,0.0024322079306783873
0.33333333333333337,0.5,0.41483873,0.4174023788517568,0.0025636475628468824
0.33566666666666667,0.5,0.4126645,0.4153527057176594,0.00268820285854382
0.338,0.5,0.4104972,0.41330303258356205,0.0028058440154468123
0.3403333333333334,0.5,0.40833673,0.4112533594494647,0.0029166306382006346
0.3426666666666667,0.5,0.40618294,0.4092036863153673,0.003020741540739613
0.34500000000000003,0.5,0.4040359,0.4071540131812699,0.0031181171184189727
0.3473333333333334,0.5,0.4018954,0.40510434004717255,0.003208936185173039
0.3496666666666667,0.5,0.39976144,0.4030546669130752,0.0032932285433242003
0.352,0.5,0.39763394,0.40100499377897786,0.003371053797517287
0.3543333333333334,0.5,0.39551282,0.39895532064488043,0.003442501354719296
0.3566666666666667,0.5,0.39339796,0.39690564751078306,0.0035076904242199447
0.359,0.5,0.3912893,0.39485597437668574,0.003566680610664008
0.3613333333333334,0.5,0.3891867,0.3928063012425883,0.0036195911233408706
0.3636666666666667,0.5,0.38709024,0.39075662810849093,0.003666392159928311
0.366,0.5,0.3849996,0.3887069549743936,0.003707351941327819
0.3683333333333334,0.5,0.38291484,0.3866572818402962,0.0037424406652168396
0.3706666666666667,0.5,0.38083592,0.3846076087061988,0.0037716881339179276
0.373,0.5,0.37876245,0.3825579355721015,0.003795481777622123
0.3753333333333334,0.5,0.37669462,0.38050826243800406,0.0038136427823949326
0.3776666666666667,0.5,0.37463224,0.37845858930390675,0.003826349962170905
0.38,0.5,0.37257516,0.37640891616980937,0.0038337523285618125
0.3823333333333334,0.5,0.37052333,0.37435924303571194,0.00383590948621243
0.3846666666666667,0.5,0.3684766,0.37230956990161457,0.003832970446734807
0.387,0.5,0.36643484,0.37025989676751725,0.0038250544194184943
0.3893333333333333,0.5,0.36439797,0.36821022363341993,0.0038122508112305997
0.3916666666666667,0.5,0.36236587,0.3661605504993225,0.003794678831460563
0.394,0.5,0.36033842,0.3641108773652251,0.003772457689398101
0.3963333333333333,0.5,0.3583155,0.3620612042311278,0.003745706594332765
0.3986666666666667,0.5,0.35629693,0.3600115310970303,0.003714604360198659
0.401,0.5,0.35428268,0.357961857962933,0.0036791807893185036
0.4033333333333333,0.5,0.3522724,0.3559121848288357,0.0036397935095607847
0.40566666666666673,0.5,0.35026625,0.35386251169473826,0.0035962637069910652
0.40800000000000003,0.5,0.34826395,0.3518128385606409,0.0035488894048333886
0.4103333333333333,0.5,0.34626532,0.34976316542654357,0.003497849417022081
0.41266666666666674,0.5,0.34427032,0.34771349229244614,0.0034431735458793633
0.41500000000000004,0.5,0.34227872,0.34566381915834876,0.003385100209984504
0.41733333333333333,0.5,0.3402904,0.34361414602425144,0.0033237486186270537
0.41966666666666674,0.5,0.3383052,0.341564472890154,0.0032592677834187844
0.42200000000000004,0.5,0.33632308,0.33951479975605664,0.003191717309004638
0.42433333333333334,0.5,0.33434373,0.3374651266219593,0.0031213952186084915
0.42666666666666675,0.5,0.332367,0.3354154534878619,0.0030484505238421167
0.42900000000000005,0.5,0.33039293,0.3333657803537645,0.0029728534223832925
0.43133333333333335,0.5,0.3284211,0.3313161072196672,0.0028950211467454467
0.43366666666666664,0.5,0.32645142,0.3292664340855699,0.002815013301573299
0.43600000000000005,0.5,0.3244838,0.3272167609514724,0.002732949096156234
0.43833333333333335,0.5,0.32251808,0.3251670878173751,0.002649007344428911
