y,classical_p_real,classical_p_imag,pinn_seeded_shooting_p_real,pinn_seeded_shooting_p_imag,direct_pinn_p_real,direct_pinn_p_imag,classical_rho_real,classical_rho_imag,pinn_seeded_shooting_rho_real,pinn_seeded_shooting_rho_imag,direct_pinn_rho_real,direct_pinn_rho_imag,classical_u_real,classical_u_imag,pinn_seeded_shooting_u_real,pinn_seeded_shooting_u_imag,direct_pinn_u_real,direct_pinn_u_imag,classical_v_real,classical_v_imag,pinn_seeded_shooting_v_real,pinn_seeded_shooting_v_imag,direct_pinn_v_real,direct_pinn_v_imag
206.375,4.4433641281486547e-07,-3.189185536242464e-07,4.4436576845479767e-07,-3.1906859545527057e-07,0.0001532766090795722,0.00022888395626049726,8.708993691171362e-07,-6.250803651035228e-07,8.709569061714033e-07,-6.253744470923302e-07,0.0003004221537959615,0.00044861255427057457,-6.940693495940605e-07,4.3322636881279114e-07,-6.941256825058057e-07,4.3344524871406114e-07,-0.00020696036960892917,-0.00035660610036639627,-6.881438705915839e-08,-3.33406688023841e-07,-6.888550828384971e-08,-3.3345884948277816e-07,0.0001690909484104673,-2.9815429358588788e-05
206.38750000000005,4.438428946442304e-07,-3.1878291150059316e-07,4.4387217735447246e-07,-3.1893284054492445e-07,0.0001532155549068886,0.00022863329426839847,8.699320735026914e-07,-6.248145065411625e-07,8.69989467614766e-07,-6.251083674680518e-07,0.0003003024876175016,0.000448121256766061,-6.933195389246562e-07,4.3307148258383115e-07,-6.933757545469518e-07,4.3329020250796743e-07,-0.00020689325309162016,-0.00035622582384996394,-6.886223664153992e-08,-3.3309172844476614e-07,-6.893331731561682e-08,-3.3314382428563267e-07,0.00016893264344307465,-2.9843684487634398e-05
206.40000000000003,4.433498536522782e-07,-3.186472281980372e-07,4.4337906352905464e-07,-3.1879704452326714e-07,0.00015315447367136254,0.00022838287237928758,8.689657131584652e-07,-6.245485672681529e-07,8.690229645169469e-07,-6.248422072656035e-07,0.0003001827683958705,0.0004476304298634037,-6.925704366192849e-07,4.32916488857359e-07,-6.926265350996958e-07,4.331350488955884e-07,-0.00020682607308562042,-0.00035584590337331764,-6.890994197294614e-08,-3.327770297580006e-07,-6.898098210741994e-08,-3.3282906004709517e-07,0.00016877446858716696,-2.9871863768833236e-05
206.41250000000002,4.4285728943440005e-07,-3.185115039068021e-07,4.4288642657383583e-07,-3.1866120758049916e-07,0.00015309336547414537,0.00022813269039073417,8.680002872914239e-07,-6.24282547657332e-07,8.680573960847182e-07,-6.245759668577783e-07,0.00030006299632932484,0.00044714007316583884,-6.918220420922913e-07,4.3276138795636703e-07,-6.918780235782342e-07,4.3297978819989186e-07,-0.0002067588297614649,-0.0003554663386438061,-6.895750326399668e-08,-3.3246259178165744e-07,-6.902850286989164e-08,-3.325145565852223e-07,0.0001686164237527582,-2.989996731080358e-05
206.425,4.423652015860761e-07,-3.1837573881702354e-07,4.4239426608419655e-07,-3.1852532990673366e-07,0.00015303223041623464,0.00022788274810045438,8.670357951087091e-07,-6.24016448081366e-07,8.670927615250251e-07,-6.243096466171979e-07,0.0002999431716158199,0.00044665018627689055,-6.910743547581443e-07,4.326061802037091e-07,-6.911302193968874e-07,4.3282442074370623e-07,-0.00020669152328944493,-0.00035508712936898213,-6.900492072523872e-08,-3.3214841433387835e-07,-6.907587981359234e-08,-3.322003137180989e-07,0.00016845850884990716,-2.992799522203923e-05
206.4375,4.4187358970278665e-07,-3.1823993311883766e-07,4.41902581655517e-07,-3.1838941169208364e-07,0.00015297106859847408,0.00022763304530631012,8.660722358174616e-07,-6.237502689129217e-07,8.661290600448132e-07,-6.240432469164839e-07,0.00029982329445300913,0.00044616076880036774,-6.90327374031313e-07,4.3245086592223857e-07,-6.903831219699752e-07,4.3266894684986e-07,-0.00020662415383960775,-0.0003547082752566013,-6.90521945672195e-08,-3.3183449723280513e-07,-6.912311314908245e-08,-3.3188633126381007e-07,0.00016830072378871695,-2.9955947610909443e-05
206.45000000000005,4.4138245338000905e-07,-3.181040870023796e-07,4.414113728831756e-07,-3.182534531266614e-07,0.00015290988012155277,0.0002273835818063063,8.651096086248176e-07,-6.234840105246639e-07,8.651662908510242e-07,-6.237767681282563e-07,0.00029970336503824346,0.00044567182034036033,-6.895810993262623e-07,4.32295445434808e-07,-6.896367307118151e-07,4.325133668411806e-07,-0.00020655672158175633,-0.0003543297760146181,-6.90993250004865e-08,-3.3152084029657755e-07,-6.91702030869224e-08,-3.315726090404394e-07,0.00016814306847933352,-2.998382458565947e-05
206.46250000000003,4.4089179221322833e-07,-3.1796820065778653e-07,4.409206393625572e-07,-3.181174544005812e-07,0.00015284866508600767,0.00022713435739859792,8.641479127379274e-07,-6.232176732892615e-07,8.64204453150612e-07,-6.235102106251391e-07,0.000299583383568575,0.00044518334050125185,-6.888355300574683e-07,4.3213991906427257e-07,-6.888910450367339e-07,4.323576810404981e-07,-0.0002064892266854516,-0.0003539516313511964,-6.914631223558657e-08,-3.312074433433404e-07,-6.921714983767222e-08,-3.3125914686607455e-07,0.00016798554283195,-3.0011626254409914e-05
206.47500000000002,4.404016057979221e-07,-3.1783227427519367e-07,4.4043038068903974e-07,-3.1798141570395557e-07,0.00015278742359222107,0.00022688537188148074,8.631871473639271e-07,-6.229512575793795e-07,8.632435461505177e-07,-6.232435747797528e-07,0.00029946335024075326,0.00044469532888770217,-6.880906656393964e-07,4.3198428713348474e-07,-6.881460643590481e-07,4.322018897706401e-07,-0.00020642166932001015,-0.0003535738409746958,-6.919315648306707e-08,-3.3089430619123375e-07,-6.926395361189249e-08,-3.309459445587991e-07,0.00016782814675680077,-3.003935272515787e-05
206.4875,4.3991189372959417e-07,-3.1769630804471306e-07,4.399405964580275e-07,-3.1784533722687336e-07,0.0001527261557404226,0.00022663662505339715,8.622273117100045e-07,-6.226847637676376e-07,8.622835690577339e-07,-6.229768609646717e-07,0.0002993432652512282,0.0004442077851046584,-6.873465054865485e-07,4.3182854996526017e-07,-6.874017880931114e-07,4.32045993354397e-07,-0.0002063540496545063,-0.0003531964045936799,-6.923985795345573e-08,-3.305814286584067e-07,-6.931061462012392e-08,-3.306330019367054e-07,0.0001676708801641657,-3.0067004105776366e-05
