final_reference_id,Mach,alpha,cr,ci,omega_i,reference_subset,mode_npz_path,mode_index_in_npz,n_coordinates,y_min,y_max,display_limit,min_abs_U_minus_c
M1.000000_a0.17000000,1.0,0.17,-2.0811513141572367e-10,0.0492311866975815,0.0083693017385888,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,24,3801,-362.52870472663614,362.5287061804543,262.6485316851811,0.0492311866975815
M1.000000_a0.17500000,1.0,0.175,-7.090404905498365e-11,0.0557083229229324,0.0097489565115131,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,25,3801,-330.59892416490635,330.5989245603439,239.87735214244077,0.0557083229229324
M1.000000_a0.18000000,1.0,0.18,-4.0809311066342696e-10,0.0641392460321991,0.0115450642857958,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,26,3801,-298.99251754567416,298.99251932253605,216.62139093837015,0.0641392460321991
M1.000000_a0.18500000,1.0,0.185,-5.547851828880535e-10,0.0769056941994695,0.0142275534269018,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,27,3801,-264.915966477706,264.915968238828,192.18433736139966,0.0769056941994695
M1.000000_a0.19000000,1.0,0.19,0.0191129885284331,0.1010233002787392,0.0191944270529604,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,28,3801,-243.4602073742481,205.64261831468016,176.5071278716074,0.10119438137900065
M1.000000_a0.19500000,1.0,0.195,0.0382070565534107,0.0978340054927779,0.0190776310710917,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,29,3801,-262.88805936118376,186.6153036153108,190.03865350714787,0.09853723212575143
M1.000000_a0.20000000,1.0,0.2,0.050369431044004,0.0946633168869308,0.0189326633773861,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,30,3801,-276.09782395598575,174.4931328868638,199.59119858844497,0.09466420934620123
M1.000000_a0.20500000,1.0,0.205,0.059979811826426,0.0915107939103272,0.018759712751617,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,31,3801,-287.41376137399436,164.96806546067057,207.0868755341339,0.09205788721781825
M1.000000_a0.21000000,1.0,0.21,0.068129548844677,0.0883759719063646,0.0185589541003365,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,32,3801,-297.93843824543217,156.96067743034433,214.98699987145784,0.0886318634556393
M1.000000_a0.21500000,1.0,0.215,0.0752967720188064,0.0852583958304331,0.0183305551035431,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,33,3801,-308.18055857379795,149.99340487905943,221.80825201014946,0.08525951618247073
M1.000000_a0.22000000,1.0,0.22,0.0817424379261732,0.082157624353902,0.0180746773578584,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,34,3801,-318.4435786928739,143.80219758485566,228.64342340945404,0.08244542103129991
M1.000000_a0.22500000,1.0,0.225,0.0876278286687524,0.0790732279991764,0.0177914762998146,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,35,3801,-328.94199462331557,138.22146345324427,236.6755595997721,0.0799846296638466
M1.000000_a0.23000000,1.0,0.23,0.0930610599734061,0.0760047899975906,0.0174811016994458,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,36,3801,-339.84846895227105,133.13852020193477,243.9785348104407,0.07629141293794287
M1.000000_a0.23500000,1.0,0.235,0.0981188972948216,0.0729519045736324,0.0171436975748036,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,37,3801,-351.3170128493666,128.47212788678394,252.77861305019363,0.07296834987485054
