final_reference_id,alpha,role,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.900000_a0.10000000,0.1,off_anchor,0.0005928121256959,0.0048547028406287,1.1485694142951215,0.2108433700367251,0.3971305426431473,0.3583015314430812,0.9426303861357554,0.8424431007456626,0.2244706889624899,0.0005921564746034,0.0048640514566327,0.1372003844760976,0.0181393530386363,0.0139800688843197,0.0098480573799425,0.056909364396784,0.0604337404288104,0.0007566338854999,-6.556510925000234e-07,9.348616003999714e-06,-1.0113690298190239,-0.1927040169980888,-0.3831504737588276,-0.3484534740631387,-0.8857210217389715,-0.7820093603168522,-0.22371405507699
M1.900000_a0.10500000,0.105,off_anchor,0.000480181660181,0.0035174337873289,1.1257121136765291,0.2093824481441943,0.4290681582021325,0.3799683387717877,0.9814858503178712,0.8603657839109672,0.2420160132293723,0.0004834599156436,0.0035252140561173,0.0969619563900929,0.0134791521624558,0.011588515780416,0.0074506469098449,0.0424645996140616,0.0456559528518892,0.0004569318359813,3.278255462599972e-06,7.780268788400158e-06,-1.0287501572864362,-0.1959032959817385,-0.41747964242171653,-0.3725176918619428,-0.9390212507038096,-0.814709831059078,-0.241559081393391
M1.900000_a0.11000000,0.11,off_anchor,0.0002767858698017,0.0018691953845032,1.1043287426192072,0.208605298617288,0.4614198761894914,0.4003026212496767,1.0223899959581113,0.8770374381964146,0.2583867189143478,0.0002816734506733,0.0018746156818875,0.0638201778713464,0.0078731127690502,0.0094783076572085,0.0044611230540079,0.0224877135037617,0.0241217202719795,0.0001434728951965,4.887580871599975e-06,5.420297384300032e-06,-1.040508564747861,-0.2007321858482378,-0.4519415685322829,-0.3958414981956688,-0.9999022824543496,-0.8529157179244351,-0.2582432460191513
M1.900000_a0.11500000,0.115,S4M4_modal_anchor,5.09941887877341e-06,2.3131052149343023e-06,1.084066274778186,0.2082458405978352,0.4939707237942191,0.4189742702383179,1.0651104044996411,0.8917875723994094,0.27270032526331,1.314523935536105e-06,6.116722951407527e-08,0.0541262748859126,0.0039779843128676,0.0103238177899024,0.0028885689612082,0.0080180787470844,0.007735410640926,2.069490970157961e-05,-3.7848949432373047e-06,-2.251937985420227e-06,-1.0299399998922734,-0.2042678562849676,-0.4836469060043167,-0.4160857012771097,-1.0570923257525566,-0.8840521617584834,-0.2726796303536084
M1.900000_a0.12000000,0.12,off_anchor,0.0003443661698432,0.0019670998993775,1.0653023673512347,0.2079472941204365,0.5265598950467788,0.4357240452548127,1.108503405041897,0.9034291442085765,0.2837239701264394,0.0003443065651984,0.0019686701092383,0.0702499514587114,0.0086426891873904,0.0143400554617643,0.0055666251487477,0.0345390067392678,0.038078717518421,0.0003107514221083,-5.960464480000201e-08,1.570209860799962e-06,-0.9950524158925234,-0.1993046049330461,-0.5122198395850145,-0.43015742010606495,-1.0739643983026292,-0.8653504266901555,-0.2834132187043311
M1.900000_a0.12500000,0.125,off_anchor,0.0007106535520826,0.0038459028479303,1.0489477154611364,0.2071695612439917,0.5609749678370262,0.4509705714253482,1.1508055213616195,0.9106374967928066,0.2901472239654364,0.0007164054003034,0.0038515950915064,0.0912250705330282,0.0151686985347194,0.0201616956495687,0.0091424643332132,0.0645545134388408,0.0717772460644524,0.0011244083494189,5.751848220799933e-06,5.692243576099678e-06,-0.9577226449281082,-0.1920008627092723,-0.5408132721874575,-0.441828107092135,-1.0862510079227787,-0.8388602507283542,-0.2890228156160175
M1.900000_a0.13000000,0.13,off_anchor,0.0010659025928216,0.0054195628866031,1.037065519800468,0.2052158487257383,0.5937101866267784,0.4638923195104271,1.3258665904450118,0.9110572711475076,0.290373400306487,0.0010787473937707,0.0054290623768642,0.1057870732635696,0.0205725770898033,0.0233590215068907,0.0120235555768084,0.5988549196988504,0.1022158573188594,0.0023160631551859,1.2844800949099932e-05,9.499490261099565e-06,-0.9312784465368983,-0.18464327163593502,-0.5703511651198877,-0.4518687639336187,-0.7270116707461614,-0.8088414138286482,-0.2880573371513011
M1.900000_a0.13500000,0.135,off_anchor,0.00136749477443,0.0064607672364964,1.0306167057343738,0.2013497908772743,0.628927363918132,0.4759728078419559,1.348193628759609,0.9042149767180032,0.2840166564472451,0.0013874921327521,0.0064730551065459,0.1105043709656122,0.0237904019193174,0.0250503534680723,0.0137031629859999,0.601005860088739,0.1241031174092656,0.0034503874596156,1.999735832209997e-05,1.2287870049500042e-05,-0.9201123347687616,-0.17755938895795692,-0.6038770104500597,-0.462269644855956,-0.74718776867087,-0.7801118593087376,-0.2805662689876295
M1.900000_a0.14000000,0.14,off_anchor,0.0015710382133059,0.006786660335684,1.0303044839192417,0.1949709204614237,0.6629535896934075,0.486880788778189,1.355009114332137,0.8894144566207569,0.271104238487442,0.0015969960361056,0.0068000583422424,0.1052518127731786,0.0242671524166904,0.0230769874671604,0.0138913495508953,0.6026991200680087,0.1329283993247526,0.0039857213895319,2.5957822799699964e-05,1.339800655840006e-05,-0.925052671146063,-0.1707037680447333,-0.6398766022262471,-0.4729894392272937,-0.7523099942641283,-0.7564860572960044,-0.26711851709791007
M1.900000_a0.14500000,0.145,off_anchor,0.0016333959466751,0.0063198054809602,1.034356175522358,0.1857981119471053,0.7007106849738329,0.4982762790162871,1.3437377513473276,0.8683093599751042,0.2531444658996719,0.0016626320249374,0.0063323075552018,0.0920554645533257,0.0220160853237013,0.0192436825273406,0.0126301534886703,0.6030470566808235,0.1263394685708052,0.0036203809277651,2.9236078262300045e-05,1.250207424160002e-05,-0.9423007109690323,-0.163782026623404,-0.6814670024464924,-0.4856461255276168,-0.7406906946665042,-0.7419698914042989,-0.24952408497190678
