model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4,M1.900000_a0.15500000,0.155,off_anchor,False,False,3251,3251,0.497019478959949,0.4958227872848511,0.0011966916750979495,0.0143067940524762,0.01777121052145958,0.0034644164689833796,1.0467369571530827,0.1599928381938178,0.07208629166124716,0.09931114973793619,0.7800278743342922,0.5220352430293352,1.1820557667600473,0.8123785349946294,0.2091388218796314
S4,M1.900000_a0.16000000,0.16,off_anchor,False,False,3254,3254,0.498417882627838,0.49774059653282166,0.0006772860950163273,0.0133273114657672,0.014969287440180779,0.001641975974413578,1.0509512339912384,0.14447616773195152,0.07582328402313548,0.09112797302564557,0.8243040453094682,0.5348866687075434,1.1105655813777229,0.7808267189455903,0.18706719239163583
S4,M1.900000_a0.16500000,0.165,S4M2_modal_anchor,True,True,3257,3257,0.4997828810399796,0.4997759461402893,6.934899690280716e-06,0.0123143262874896,0.012314919382333755,5.930948441552203e-07,1.0529902253514818,0.12818325752163967,0.07871735448952633,0.08138549801649665,0.8707821083180987,0.5479565832271498,1.0259171656387627,0.7486435636688346,0.16705396597658073
S4,M1.900000_a0.17000000,0.17,off_anchor,False,False,3260,3260,0.5011157862324153,0.5018283128738403,0.0007125266414250708,0.0112701314212974,0.010043327696621418,0.0012268037246759827,1.0531379594920856,0.11175173018127237,0.08090378440072882,0.07069560908146809,0.9192535496616744,0.5609768918368895,0.9323580262415263,0.7173243707741485,0.15014635971464219
S4,M1.900000_a0.17500000,0.175,off_anchor,False,False,3264,3264,0.5024178582709946,0.5037563443183899,0.001338486047395282,0.0101968564478816,0.008248819969594479,0.001948036478287122,1.0517133441165691,0.0957055583412864,0.08253816253214333,0.05958440364477553,0.9726301334857417,0.5741738983898401,0.8344286552738298,0.6889252018240921,0.1370702907476986
S4,M1.900000_a0.18000000,0.18,off_anchor,False,False,3266,3266,0.5036903056394091,0.5054158568382263,0.0017255511988172323,0.009096481823104,0.006910659838467836,0.0021858219846361635,1.0496800186820419,0.08051223450237469,0.08417114788354298,0.0485505896209838,1.0246637899137534,0.5864981576348861,0.6561780711109785,0.6644384478470228,0.12776886225567463
S4,M1.900000_a0.18500000,0.185,off_anchor,False,False,3270,3270,0.5049342833085814,0.5067079067230225,0.0017736234144410945,0.0079708512569397,0.005948725156486034,0.0020221261004536653,1.0469057151194854,0.06655368879548633,0.0872388639046944,0.047463361590406095,1.081291372436324,0.5985588114743693,0.5463949175126539,0.6459627564431604,0.12234568079343078
S4,M1.900000_a0.19000000,0.19,off_anchor,False,False,3273,3273,0.5061508958929851,0.5076106786727905,0.0014597827798054075,0.0068216808151174,0.005270296707749367,0.0015513841073680331,1.0440165358858042,0.05441885295323437,0.09030705767118301,0.04647300763966289,1.1358310087970946,0.6094169812241104,0.4397076218965427,0.6338602143334279,0.1202443547455645
S4,M1.900000_a0.19500000,0.195,off_anchor,False,False,3276,3276,0.5073411990251013,0.5081757307052612,0.0008345316801599001,0.0056505720007862,0.004794469103217125,0.0008561028975690747,1.040567033272514,0.04496351822547835,0.09305225374514652,0.04498459659072185,1.1952343219931791,0.6200238761453923,0.3267059367516764,0.6297083884913983,0.12135831283135001
S4,M1.900000_a0.20000000,0.2,S4M2_modal_anchor,True,True,3280,3280,0.5085061968756752,0.5084971189498901,9.077925785083707e-06,0.004459012725829,0.004459297750145197,2.8502431619666785e-07,1.0367469455824956,0.039328579664243205,0.09548697532683005,0.0430934063712789,1.255653880608223,0.6296439778833991,0.2519979629317197,0.6329400635507849,0.12500613704656893
