benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
47,C22,1.6,0.22,0.4256110612063782,0.0118039423351638,0.42903417,0.010427184,0.0036895985318749526,COMPLETED,,0.42560643562500006,0.011807392333333331,2.2411125502677696e-06,3.53950548770472e-21,2.241112550267773e-06,True,True,0,0.015,0.008,12,426.2459819309879,5.770484421228004e-06
61,C31,1.9,0.145,0.4941169522172745,0.0161551782261101,0.49353796,0.015779916,0.0006899664673080282,COMPLETED,,0.49411413187500003,0.016160124333333338,1.5377277336601697e-06,8.54807879556802e-21,1.5377277336601781e-06,True,True,0,0.015,0.008,12,391.46600896306336,5.693707685577622e-06
48,C30,1.7,0.06,0.3910915486397204,0.0336318199900653,0.39296204,0.03323299,0.001912538441406125,COMPLETED,,0.391096805625,0.03363338062499999,4.6248070014318054e-07,1.2879296832313704e-21,4.624807001431818e-07,True,True,0,0.015,0.015,12,323.04079515696503,5.483746495707032e-06
49,C30,1.7,0.075,0.4008202608716605,0.0347139445851855,0.40009424,0.0363901,0.001826637150804359,COMPLETED,,0.40081689625,0.03471822499999999,6.258091639095405e-07,2.4286630680770456e-21,6.258091639095429e-07,True,True,0,0.03,0.008,12,331.50183704600204,5.44450455987144e-06
13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.16236135,0.029387763,0.010242773875141036,COMPLETED,,0.15272267812499998,0.025924221333333334,2.5446338855136367e-06,5.688389052000403e-20,2.5446338855136935e-06,True,True,0,0.015,0.008,12,358.99254820204806,5.159050130394332e-06
15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.12639718,0.072638944,0.020685353979529985,COMPLETED,,0.14698311750000004,0.07470665233333333,1.6250763560876329e-06,2.0319734816015106e-20,1.6250763560876532e-06,True,True,0,0.06,0.008,12,328.18178341700695,5.077825939628133e-06
2,C00,1.1,0.105,0.0614720572586166,0.1377614529920954,0.05105993,0.10126213,0.03795540769022158,COMPLETED,,0.06147008625000001,0.13776603624999997,3.264914799445634e-07,2.5177064053970277e-21,3.2649147994456596e-07,True,True,0,0.03,0.03,12,268.81017058400903,4.989100919644274e-06
60,C31,1.85,0.2,0.4955951008506211,0.0060751576994105,0.4968003,0.004308096,0.0021389277779268567,COMPLETED,,0.4955991281249999,0.006072906343750001,1.6045057195807533e-06,8.519853794141318e-21,1.6045057195807617e-06,True,True,0,0.015,0.008,12,441.7967873479938,4.613842350180816e-06
3,C00,1.1,0.115,0.0840064838857459,0.1316074319054831,0.063100845,0.10602743,0.03303607474724759,COMPLETED,,0.084009048125,0.131603601875,4.3402857200326614e-07,1.683302514009634e-21,4.3402857200326784e-07,True,True,0,0.015,0.015,12,274.4267769079888,4.609170907411324e-06
20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.26721454,0.014121603,0.009832711316396063,COMPLETED,,0.2745192275000001,0.02071014466666667,2.22052226275671e-06,1.0502656033612878e-20,2.2205222627567204e-06,True,True,0,0.06,0.008,12,392.4206594720017,4.538617165016942e-06
36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30891198,0.06563097,0.006657191643736642,COMPLETED,,0.3134334643749999,0.060750761666666674,6.674619251623737e-07,6.1278356154301885e-21,6.674619251623798e-07,True,True,0,0.015,0.008,12,323.765036320081,4.436875204268749e-06
33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.31060666,0.0030396227,0.0027015984047143197,COMPLETED,,0.3091515818750001,0.000759513037584093,2.5263536734970013e-06,6.0092268316115795e-22,2.5263536734970017e-06,True,True,0,0.015,0.015,12,441.2303089660127,4.340602873772507e-06
51,C30,1.75,0.115,0.4390526505121892,0.028374825904752,0.4410575,0.026311072,0.002877238545577028,COMPLETED,,0.439055546875,0.028371618875000008,8.948147140858548e-07,6.245899587452964e-21,8.948147140858611e-07,True,True,0,0.015,0.015,12,354.54883315193,4.3213374505681776e-06
42,C21,1.55,0.12,0.3676123448280693,0.0442350462458262,0.37095645,0.044823345,0.0033954579698614964,COMPLETED,,0.3676166062500001,0.04423480333333333,8.332484283045838e-07,6.795740264272357e-21,8.332484283045905e-07,True,True,0,0.03,0.008,12,339.9982827870408,4.2683396480680745e-06
30,C11,1.4,0.19,0.3372147010212746,0.0392805758273937,0.33681038,0.037920043,0.0014193396572562936,COMPLETED,,0.3372107706250001,0.039279418,1.3253181652523277e-06,2.3324639892630218e-21,1.32531816525233e-06,True,True,0,0.015,0.008,12,378.47572855104227,4.097386868259676e-06
23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.19070031,0.091887124,0.014173563392533822,COMPLETED,,0.20480187250000004,0.09328360837500001,1.981960090450092e-07,2.39359887926035e-21,1.9819600904501159e-07,True,True,0,0.06,0.015,12,280.25279391300865,3.932514955755052e-06
35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36061746,0.009961437,0.0035654022358407437,COMPLETED,,0.36005105374999996,0.013477975763997395,1.6817287032401133e-06,1.7678969264847222e-23,1.6817287032401133e-06,True,True,0,0.03,0.03,12,417.04872218193486,3.7810758299859963e-06
39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.38110083,0.040957503,0.0012049062239548628,COMPLETED,,0.382302001875,0.04098679987499999,6.605094072039653e-07,6.144254982088677e-21,6.605094072039715e-07,True,True,0,0.015,0.015,12,339.8923936919309,3.678103954581246e-06
50,C30,1.75,0.055,0.4075496013880763,0.029060765945644,0.40693113,0.028869532,0.0006473617843490614,COMPLETED,,0.40754636437499997,0.029062240333333333,2.8079693446774416e-07,8.826584390040532e-22,2.8079693446774506e-07,True,True,0,0.015,0.008,12,322.99487026792485,3.5569752198519364e-06
54,C31,1.7,0.12,0.4243596505971577,0.0309763785020722,0.42355138,0.03139378,0.0009096842137258727,COMPLETED,,0.4243619268749999,0.030973858125000007,7.225121338713525e-07,6.768091991953715e-21,7.225121338713592e-07,True,True,0,0.015,0.015,12,354.56306064501405,3.3961362459415733e-06
28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.2683522,0.057635054,0.002648389415343286,COMPLETED,,0.26570571562499995,0.057754845666666665,1.0482465289771916e-06,3.1858956239778413e-23,1.0482465289771916e-06,True,True,0,0.015,0.008,12,352.31980912503786,3.33312445952749e-06
32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29952085,0.010593737,0.0044464663628052,COMPLETED,,0.30044858437499994,0.014942695333333332,1.6159801899756787e-06,6.163066794267606e-21,1.6159801899756849e-06,True,True,0,0.015,0.008,12,406.37223194900434,3.2760869222857644e-06
59,C31,1.85,0.18,0.4905395491810024,0.0108833347589581,0.49060377,0.009412509,0.0014722271315280777,COMPLETED,,0.49053866583333333,0.010886467333333332,1.048533332446552e-06,8.924788283903389e-21,1.0485333324465608e-06,True,True,0,0.1,0.008,12,419.4352965509752,3.2547389020949725e-06
18,C02,1.1,0.265,0.2071896831590645,0.0445687947481188,0.20727491,0.04669691,0.0021298211520466323,COMPLETED,,0.20718701937500003,0.04456800375000001,1.1988296218486045e-06,2.0544575149935735e-20,1.198829621848625e-06,True,True,0,0.015,0.03,12,355.45067579101305,2.7787449623943726e-06
38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.332251,0.04463362,0.01030308651625068,COMPLETED,,0.32379396874999994,0.05051382833333333,1.9715796595072336e-07,1.7196821423880665e-21,1.9715796595072508e-07,True,True,0,0.03,0.008,12,311.2793769449927,2.7758793202771847e-06
62,C32,1.75,0.21,0.4702734319548457,0.0072567424189534,0.469841,0.00788263,0.0007607448058843711,COMPLETED,,0.47027068750000006,0.007256652978515625,1.010863770558464e-06,6.658207426778642e-21,1.0108637705584706e-06,True,True,0,0.06,0.015,12,439.48843747307546,2.7459118689019454e-06
43,C21,1.55,0.2,0.4017552663925157,0.0216202143809181,0.40099084,0.02115018,0.0008973739626374196,COMPLETED,,0.40175255875,0.021620176790364584,9.598257001970639e-07,4.184053226531882e-21,9.59825700197068e-07,True,True,0,0.03,0.03,12,406.9217511500465,2.707903440399803e-06
53,C30,1.9,0.075,0.4689092726029273,0.0226079949575224,0.46944377,0.023868445,0.0013690952403172113,COMPLETED,,0.468906660625,0.022608679375,3.602862097531016e-07,1.978468199004091e-21,3.602862097531036e-07,True,True,0,0.015,0.015,12,343.73148999898694,2.7001585094661093e-06
6,C01,1.0,0.155,-1.1093810174199796e-10,0.0355397248680497,0.0032981932,0.060400393,0.025078494753140303,COMPLETED,,0.0,0.03553711175000001,7.74599433296508e-07,3.0933321841949277e-21,7.745994332965111e-07,True,True,0,0.015,0.03,12,276.15916991000995,2.6131180520484523e-06
8,C01,1.05,0.14,0.0443825798422026,0.1272560731093161,0.063296646,0.106766075,0.027885155928223077,COMPLETED,,0.044380630374999994,0.12725435625,1.994858812191621e-07,6.449746790758414e-22,1.9948588121916274e-07,True,True,0,0.015,0.03,12,275.44248745101504,2.597696726971681e-06
40,C21,1.45,0.12,0.3237488512771395,0.0567621464549422,0.3246545,0.0564011,0.0009749636669359729,COMPLETED,,0.32374629687500006,0.056762428125000014,4.690620725168962e-07,6.5852104314052006e-21,4.6906207251690275e-07,True,True,0,0.015,0.015,12,330.41507706500124,2.569884882897639e-06
17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.18063861,0.07118558,0.0020409132364771695,COMPLETED,,0.18207415687500003,0.07263870499999998,8.171597381867688e-07,8.417847944913843e-21,8.171597381867773e-07,True,True,0,0.015,0.008,12,334.2546316990629,2.5219806281418426e-06
46,C22,1.55,0.26,0.4189715103041552,0.0011522371683095,0.4229405,0.0024530848,0.0041767312298730715,COMPLETED,,0.41896914583333333,0.00115144663671875,1.0918628369680523e-06,4.542442284935045e-21,1.0918628369680568e-06,True,True,0,0.1,0.03,12,455.15044303191826,2.4931230341468486e-06
29,C11,1.35,0.155,0.2967549899429557,0.0596339037531516,0.29647943,0.059348587,0.00039665971788261414,COMPLETED,,0.2967528675,0.05963504533333333,5.895246840789059e-07,4.120810497237575e-21,5.8952468407891e-07,True,True,0,0.06,0.008,12,341.45223546307534,2.4099729067724957e-06
12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.10942529,0.06406438,0.002129130096369949,COMPLETED,,0.11154443062500001,0.06388208833333332,7.367403133320843e-07,4.8534144716156866e-20,7.367403133321328e-07,True,True,0,0.015,0.008,12,325.76352695398964,2.2968635877406737e-06
25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.2527197,0.07559337,0.008202318643260022,COMPLETED,,0.260834934375,0.076796495,1.7842174556505076e-07,3.947353192669256e-21,1.784217455650547e-07,True,True,0,0.015,0.008,12,300.47183397598565,2.0663740451566206e-06
27,C11,1.25,0.17,0.2524134188561518,0.0696333329101972,0.25439477,0.0693973,0.0019953605914532434,COMPLETED,,0.25241234812499996,0.06963167500000002,5.175535894739538e-07,9.470148192126942e-22,5.175535894739548e-07,True,True,0,0.015,0.008,12,343.31775017804466,1.9736087305933666e-06
57,C31,1.85,0.12,0.4719985865793722,0.0222249860031717,0.47138157,0.023220617,0.0011713199994303283,COMPLETED,,0.4719968043750001,0.022225825333333327,4.428192679333352e-07,6.638798709585142e-21,4.428192679333418e-07,True,True,0,0.015,0.008,12,367.71168071602006,1.9699562290254946e-06
45,C22,1.45,0.235,0.3745136540289731,0.0171237709666125,0.37010783,0.01925522,0.004894319192309061,COMPLETED,,0.37451212687499996,0.017125011666666662,8.09512802342234e-07,5.275425262131373e-22,8.095128023422346e-07,True,True,0,0.015,0.008,12,412.03184118901845,1.967621884915088e-06
14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.12265214,0.076686695,0.02091262872541749,COMPLETED,,0.14354081187499998,0.07769190333333333,6.030917064073537e-07,1.8738036046149806e-20,6.030917064073724e-07,True,True,0,0.015,0.008,12,325.431527574081,1.956467037158091e-06
31,C12,1.25,0.235,0.283159755764521,0.0387025891520861,0.2826535,0.039961185,0.0013565981009484218,COMPLETED,,0.28316131250000004,0.038701419375000004,7.707429161862843e-07,1.2991099919043188e-21,7.707429161862855e-07,True,True,0,0.06,0.015,12,374.423599509988,1.9472554487834256e-06
5,C01,1.0,0.145,-5.6069094750228085e-11,0.0290465325718309,0.00410372,0.042418193,0.013987202039895156,COMPLETED,,0.0,0.029048401333333335,6.341194902716637e-07,3.604265114675448e-21,6.341194902716673e-07,True,True,0,0.015,0.008,12,274.01347743498627,1.8687615032772472e-06
10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.21498257,0.062057137,0.011996864298245334,COMPLETED,,0.20860561687499998,0.07221859533333332,5.508937133965719e-07,1.8616097068270436e-21,5.508937133965738e-07,True,True,0,0.015,0.008,12,338.47489218995906,1.7956801954885907e-06
7,C01,1.0,0.18,-4.0809311066342696e-10,0.0641392460321991,-0.0020587742,0.07733439,0.013354788424278206,COMPLETED,,0.0,0.064141030625,2.5210421882882835e-07,2.3236787816135362e-21,2.521042188288307e-07,True,True,0,0.015,0.015,12,280.937016953947,1.7845928475568784e-06
26,C11,1.25,0.16,0.2464222279528879,0.0743731035158428,0.24687964,0.074429624,0.0004608908178437233,COMPLETED,,0.246420655625,0.07437233233333333,4.2237385381982825e-07,1.6677784869264164e-21,4.2237385381982995e-07,True,True,0,0.015,0.008,12,337.45095487404615,1.7512673839061758e-06
16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.1966241,0.0017754886,0.00905665718228181,COMPLETED,,0.20554337083333338,0.003347209878450521,9.409273896254826e-07,4.746895745970237e-20,9.4092738962553e-07,True,True,0,0.1,0.008,12,396.0140927960165,1.5634081321548982e-06
