point_id,direction,step_index,Mach,eta,alpha,ci_seed,gep_cr,gep_ci,adjacent_overlap,selection_basis,selection_source,n_finite_modes
OFFGRID_0380,low_to_target,11,0.7902564813811129,0.9460491538058665,0.5797164227341631,0.024189539117904106,-1.881274192589119e-13,0.025028241513794753,0.9999990109640484,previous_eigenvalue,nearest_to_target,313
OFFGRID_0380,low_to_target,12,0.7902564813811129,0.948417258697309,0.5811675410939264,0.02338704861832141,4.919696686635883e-13,0.023893033483675667,0.999999007180912,previous_eigenvalue,nearest_to_target,286
OFFGRID_0380,low_to_target,13,0.7902564813811129,0.9507853635887513,0.5826186594536897,0.02284625947815022,-1.954052791681287e-12,0.02275290922890736,0.9999990026094371,previous_eigenvalue,nearest_to_target,316
OFFGRID_0380,low_to_target,14,0.7902564813811129,0.9531534684801938,0.5840697778134532,0.02217973230967092,1.700499472867316e-12,0.021606226144303926,0.99999899701038,previous_eigenvalue,nearest_to_target,338
OFFGRID_0380,low_to_target,15,0.7902564813811129,0.9555215733716361,0.5855208961732165,0.02102705127961259,-1.0698189111006676e-11,0.020450878330248574,0.9999989900632407,previous_eigenvalue,nearest_to_target,294
OFFGRID_0380,low_to_target,16,0.7902564813811129,0.9578896782630786,0.5869720145329799,0.019364952023861202,-2.6014657469868005e-12,0.019284146646781342,0.9999989813310832,previous_eigenvalue,nearest_to_target,291
OFFGRID_0380,high_to_target,0,0.7902564813811129,0.98,0.6005206938709032,0.009935572585621052,-4.1569541878214785e-11,0.00603325395804355,,pinn_seed_start,nearest_to_target,289
OFFGRID_0380,high_to_target,1,0.7902564813811129,0.9775432975847865,0.5990152850555784,0.010395334987030384,-1.5552173082037228e-11,0.008114888736286262,0.9999980722848273,previous_eigenvalue,nearest_to_target,290
OFFGRID_0380,high_to_target,2,0.7902564813811129,0.975086595169573,0.5975098762402535,0.011409658881980886,-5.0260832328203345e-11,0.009852722760540679,0.9999984503432322,previous_eigenvalue,nearest_to_target,292
OFFGRID_0380,high_to_target,3,0.7902564813811129,0.9726298927543595,0.5960044674249287,0.013021946624452732,-5.7195855256277025e-11,0.01140859558582047,0.9999986230932464,previous_eigenvalue,nearest_to_target,301
OFFGRID_0380,high_to_target,4,0.7902564813811129,0.9701731903391461,0.594499058609604,0.014606639382055147,-1.4171095799465282e-11,0.012851892346276806,0.9999987206668588,previous_eigenvalue,nearest_to_target,313
OFFGRID_0380,high_to_target,5,0.7902564813811129,0.9677164879239325,0.592993649794279,0.015603963346273404,6.786331794557083e-12,0.014219670611076976,0.9999987823041114,previous_eigenvalue,nearest_to_target,291
OFFGRID_0380,high_to_target,6,0.7902564813811129,0.965259785508719,0.5914882409789542,0.016184990014015712,-9.034826165334928e-12,0.0155342984398729,0.9999988240117018,previous_eigenvalue,nearest_to_target,303
OFFGRID_0380,high_to_target,7,0.7902564813811129,0.9628030830935056,0.5899828321636295,0.01676657909148506,1.5039580904986599e-12,0.016810370678852764,0.9999988535644465,previous_eigenvalue,nearest_to_target,294
OFFGRID_0380,high_to_target,8,0.7902564813811129,0.960346380678292,0.5884774233483047,0.01775958327983847,-6.865143380398121e-12,0.01805792896692246,0.9999988752036094,previous_eigenvalue,nearest_to_target,288
OFFGRID_0380,high_to_target,9,0.7902564813811129,0.9578896782630786,0.5869720145329799,0.019364952023861202,-2.6014657469868005e-12,0.019284146646781342,0.9999988914437145,previous_eigenvalue,nearest_to_target,291
