Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,validation_status,source,stage1_mismatch,stage2_mismatch_exact,max_edge_frac,max_center_jump,max_adjacent_jump,max_ylimit_rel_l2,campaign_target_status
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-139.51631852117183,-0.04910532310089506,0.021380835487888737,-0.07672706734514854,0.03340755544982615,-0.03791449925699857,0.01851596289199434,0.04833019717832227,-0.019417784275846946,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-135.84528736938506,-0.014489385566286267,0.05531348894143578,-0.022639664947322294,0.0864273264709934,-0.009503058209452814,0.044033613875104835,0.015624366342723964,-0.05336695532656012,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-132.36081767772106,0.034446066241083324,0.05015391117804421,0.05382197850169269,0.07836548621569404,0.028835260778689534,0.038290763445271166,-0.03208929651861425,-0.04971310540239121,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-129.04903917010265,0.06378446067139375,0.009868024208674381,0.09966321979905272,0.015418787826053717,0.05054203115304786,0.005574575741922035,-0.061730177399128,-0.011367676471299656,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-125.89742326932601,0.05546407357080449,-0.039810824049946215,0.086662614954382,-0.06220441257804097,0.042285850477230304,-0.033240212493157825,-0.055024396340851545,0.03715659954473594,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-122.89462469623246,0.01493247823333921,-0.07046146227896236,0.023331997239592513,-0.11009603481087869,0.00933117147757023,-0.05597136636609293,-0.016476631574758892,0.06807994829435557,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-120.03034499215914,-0.03610438931263041,-0.06664803443791902,-0.05641310830098502,-0.10413755380924847,-0.03070737674838587,-0.05121580576469377,0.03324235407592724,0.06579316666486833,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-117.29521450452806,-0.07327733580063017,-0.031053734760289706,-0.11449583718848465,-0.04852146056295267,-0.058741740857384026,-0.02192295666845242,0.07036863506785361,0.03222644176500804,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-114.68068998577009,-0.0809335223171377,0.02005960492138244,-0.12645862862052765,0.03134313268966007,-0.06301094746137875,0.01856998819351207,0.07923357724976177,-0.017247707672494287,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-112.17896544765267,-0.05695000977816114,0.0660140303202944,-0.08898439027837678,0.10314692237546,-0.04255478968175919,0.053915055368524256,0.057198051620276726,-0.06258734859353973,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
