alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.015,0.06,0.080390625,0.3215625,3,0.3406242370605468,0.004643919074164497,0.000812685837978787,,,,0.04129600214804455,4.559206173991836e-20,-6.359996527214058,True,True,True,validated,-0.07257911896676228,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.015,0.03,0.080390625,0.16078125,3,0.3406242370605468,0.0034446139424641935,0.0006028074399312338,,,,0.04129713926231316,3.5514126428760916e-20,-6.017584021391823,True,True,True,validated,-0.07137975697934854,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.015,0.015,0.080390625,0.080390625,3,0.3406242370605468,0.002163431971232097,0.0003786005949656169,,,,0.041300395933535655,4.1256728068904793e-22,-5.6515743078616385,True,True,True,validated,-0.07009841217455533,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.015,0.008,0.080390625,0.042875,3,0.3406242370605468,0.0021404727918836793,0.0003745827385796439,,,,0.04130047323049986,1.5362029889382716e-21,-5.645013726291417,True,True,True,validated,-0.0700754491303587,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.15,0.015,0.15,0.015,0,0.22426757812499992,5.755969891332304e-06,1.0072947309831533e-06,,,,0.007279599717705618,4.454398345240696e-21,-5.017315332711815,True,True,True,validated,-0.06964177598400606,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.015,0.008,0.02625,0.014,1,0.03914428710937501,6.022841716499485e-06,1.0539973003874097e-06,,,,0.009874377758738197,1.0572462796599515e-21,-5.006384144500863,True,True,True,validated,-0.0695123039537796,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.015,0.015,0.015,0.015,0,0.022416992187499995,5.755969891332304e-06,1.0072947309831533e-06,,,,0.021420131691743845,5.601378032496968e-21,-5.004614920329514,True,True,True,validated,-0.06893474938530414,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.1,0.03,0.17500000000000002,0.0525,1,0.3372802734374999,0.0006780711263020832,0.00011866244710286455,,,,0.04199967174262249,3.852875547189944e-26,-5.22113617168299,True,True,True,validated,-0.06857808753917097,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.03,0.008,0.091875,0.0245,2,0.282613525390625,8.063500675154321e-06,1.4111126181520062e-06,,,,0.031972540265567756,2.9163266308037945e-21,-5.028986685869154,True,True,True,validated,-0.06840943648739678,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.1,0.06,0.17500000000000002,0.105,1,0.3372802734374999,0.00040599538845486125,7.104919297960071e-05,,,,0.04200003151012087,5.129568036199629e-26,-5.145730399549814,True,True,True,validated,-0.06830599381294881,max_ci_fallback,1200.0
