alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_04,0.26,0.07,0.1,0.03,0.1,0.03,0,0.43649739583333325,0.02513671875000001,0.003770507812500001,0.006686816791209749,0.006345322867347361,0.33767171459599077,2.6224350502419515e-06,5.7172051678153e-18,-25.254753781485192,True,True,True,validated,0.025488965508764845,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_05,0.34,0.085,0.06,0.03,0.06,0.03,0,0.43652343750000006,0.025136718750000012,0.0037705078125000015,0.006712858457876558,0.0063453228673473645,0.33767171459599093,8.963242998807639e-06,5.720466566181552e-18,-25.263186094680005,True,True,True,validated,0.02548980402174267,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_05,0.34,0.085,0.1,0.03,0.1,0.03,0,0.43654947916666664,0.025136718750000012,0.0037705078125000015,0.006738900124543146,0.0063453228673473645,0.33767171459599093,1.595716284356113e-05,5.7241135089863e-18,-25.27161694194961,True,True,True,validated,0.02549064576620121,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_04,0.26,0.07,0.03,0.03,0.03,0.03,0,0.31994140624999995,0.023769531250000003,0.0035654296875000002,0.10986917279212355,0.0049781353673473555,0.26491567728307724,0.02837055257151853,1.6504629665931336e-20,-7.621639946339161,True,True,True,validated,0.043303990707534996,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_02,0.1,0.04,0.1,0.008,0.1,0.008,0,0.2998046875000002,0.024015625,0.0036023437499999996,0.13000589154212328,0.005224229117347351,0.2780117639994014,0.03183740266101934,4.948021798698487e-21,-7.1961427429903875,True,True,True,validated,0.05007113707314097,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_03,0.18,0.055,0.06,0.015,0.06,0.015,0,0.29988281249999993,0.025029296874999996,0.003754394531249999,0.12992776654212357,0.006237900992347348,0.33195516880711834,0.03184247552695278,1.7083507424168017e-20,-7.28717898070556,True,True,True,validated,0.05187034359030945,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_02,0.1,0.04,0.1,0.015,0.1,0.015,0,0.2998046875000002,0.010029296875000005,0.0015043945312500006,0.13000589154212328,0.008762099007652643,0.4662824977117006,0.03170883363321281,8.66483494605882e-21,-5.938912686314723,True,True,True,validated,0.0574354221207362,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_05,0.34,0.085,0.03,0.03,0.03,0.03,0,0.3999414062499999,0.03326171875,0.0049892578125,0.02986917279212359,0.014470322867347354,0.7700504506270176,0.010792303614104874,1.211445609218946e-18,-15.669132953188866,True,True,True,validated,0.058817806987908984,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_04,0.26,0.07,0.015,0.03,0.015,0.03,0,0.28997070312499995,0.010058593750000011,0.0015087890625000017,0.13983987591712355,0.008732802132652637,0.46472343976928066,0.03323088025086278,6.751369526199995e-21,-5.865078916806975,True,True,True,validated,0.06013069278024552,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_03,0.18,0.055,0.03,0.015,0.03,0.015,0,0.23994140624999993,0.025029296874999996,0.003754394531249999,0.18986917279212356,0.006237900992347348,0.33195516880711834,0.041522550080358205,1.137362184266643e-21,-6.419168428891582,True,True,True,validated,0.07098411534138462,distance_to_blumen,500.0
0.15,1.7,0.4298105790421235,0.018791395882652648,True,True,True,generic_03,0.18,0.055,0.06,0.03,0.06,0.03,0,0.29988281249999993,0.0051596796875000035,0.0007739519531250005,0.12992776654212357,0.013631716195152644,0.7254232884176964,0.03170175344841871,5.579463299056225e-23,-5.494723473048913,True,True,True,validated,0.07100090834865776,distance_to_blumen,500.0
