point_id,Mach,eta,alpha,ci_seed,ci_final,ci_blumen,pinn_blumen_abs,gep_blumen_abs,pinn_blumen_rel,gep_blumen_rel,inside_blumen_support
P003_M0400_eta0136,0.4,0.1362499999999999,0.1248751876875466,0.6917082694349554,0.6909219144843344,0.175,0.5167082694349554,0.5159219144843343,2.9526186824854594,2.948125225624768,True
P004_M0400_eta0185,0.4,0.185,0.169555300713366,0.6353417699376983,0.6354784399544897,0.175,0.4603417699376983,0.4604784399544897,2.6305243996439907,2.631305371168513,True
P005_M0400_eta0234,0.4,0.23375,0.2142354137391855,0.5826943443503,0.5833472851803618,0.175,0.4076943443503,0.40834728518036184,2.329681967716,2.3334130581734964,True
P003_M0400_eta0269,0.4,0.26875,0.2463134436038764,0.549007502244774,0.5477240577652003,0.175,0.374007502244774,0.3727240577652003,2.1371857271129944,2.1298517586582877,True
P004_M0400_eta0325,0.4,0.325,0.2978674201721296,0.4928941960117756,0.4932647522221996,0.16852276842266228,0.3243714275891133,0.32474198379953734,1.9247928966819245,1.9269917462136072,True
P005_M0400_eta0381,0.4,0.38125,0.3494213967403828,0.4414181006029973,0.441849020879729,0.16099760593031437,0.28042049467268293,0.2808514149494146,1.7417681030242098,1.7444446662826611,True
P006_M0400_eta0562,0.4,0.5625,0.515539765682532,0.2929243123037772,0.2927309064064071,0.13470448907717145,0.15821982322660574,0.15802641732923564,1.1745697883606723,1.173134009206651,True
P007_M0400_eta0600,0.4,0.6000000000000001,0.5499090833947009,0.2645158838068162,0.2644589232592544,0.12787008010864198,0.1366458036981742,0.13658884315061243,1.0686299999349036,1.0681845435191935,True
P008_M0400_eta0638,0.4,0.6375000000000001,0.5842784011068697,0.2361913896741226,0.2369249779040642,0.12103567114011249,0.1151557185340101,0.1158893067639517,0.9514196719800424,0.9574805978462061,True
P006_M0400_eta0669,0.4,0.6687500000000001,0.6129194992003436,0.2152371036850266,0.2145056951301972,0.11534033033300461,0.09989677335202199,0.0991653647971926,0.8661044498798054,0.8597631419199815,True
P007_M0400_eta0725,0.4,0.7250000000000001,0.6644734757685968,0.1752562013601545,0.1752624418734021,0.10508871688021038,0.07016748447994411,0.07017372499319172,0.6676976041103191,0.6677569873955362,True
P008_M0400_eta0781,0.4,0.78125,0.71602745233685,0.1364254343254033,0.1373251423703031,0.09258325351809674,0.04384218080730656,0.04474188885220637,0.47354331524693044,0.48326114229136397,True
P006_M0400_eta0815,0.4,0.8150000000000001,0.746959838277802,0.1158422954362446,0.1151354448365567,0.08120754015564237,0.034634755280602225,0.033927904680914334,0.4264967909903594,0.41779254261227605,True
P007_M0400_eta0860,0.4,0.8600000000000001,0.7882030195324046,0.0862067300611754,0.0861649618301486,0.06677570511167691,0.019431024949498485,0.019389256718471692,0.29098943870381727,0.29036393829229873,True
P008_M0400_eta0905,0.4,0.905,0.829446200787007,0.056929819594942,0.057846966834106,0.05250938646339043,0.00442043313155157,0.005337580370715571,0.0841836751346066,0.1016500235522069,True
P006_M0400_eta0928,0.4,0.9275,0.8500677914143083,0.0442053412203499,0.0439142276633787,0.042260571667349575,0.001944769553000325,0.0016536559960291242,0.04601853397318924,0.03912999589891339,True
P007_M0400_eta0950,0.4,0.95,0.8706893820416095,0.0303088936327711,0.0301075312706807,0.029410465828615066,0.0008984278041560337,0.0006970654420656343,0.030547894392135184,0.0237012717216951,True
P008_M0400_eta0972,0.4,0.9725,0.8913109726689109,0.0157786650897662,0.0159585596475286,0.01664592304022141,0.0008672579504552108,0.0006873633926928087,0.0521003220043528,0.04129319780176432,True
P009_M0450_eta0375,0.45,0.375,0.3348857081154703,0.4368797258282935,0.4355138279752461,0.16284029637143668,0.2740394294568568,0.27267353160380947,1.6828723329744883,1.6744843732158565,True
P010_M0450_eta0450,0.45,0.45,0.4018628497385644,0.3725871979311061,0.3728256983523177,0.15396938816956063,0.2186178097615455,0.21885631018275709,1.4198784080429676,1.421427419986491,True
P011_M0450_eta0525,0.45,0.525,0.4688399913616585,0.3131685685171912,0.3139295824343485,0.1418532754675515,0.17131529304963972,0.172076306966797,1.207693600905448,1.2130583971334445,True
P003_M0500_eta0025,0.5,0.025,0.0216506350946109,0.778309817133439,0.7781763435215854,0.175,0.603309817133439,0.6031763435215853,3.4474846693339374,3.446721962980488,True
P004_M0500_eta0040,0.5,0.04,0.0346410161513775,0.7589330076416545,0.7593058723669913,0.17499999999999996,0.5839330076416546,0.5843058723669914,3.3367600436665983,3.3388906992399514,True
P005_M0500_eta0055,0.5,0.055,0.0476313972081441,0.7407277389672948,0.7408843662189948,0.175,0.5657277389672948,0.5658843662189947,3.2327299369559706,3.2336249498228273,True
P003_M0525_eta0519,0.5249999999999999,0.51875,0.44150928001112,0.3061746305446168,0.305228345062015,0.1376847963123425,0.1684898342322743,0.1675435487496725,1.223735944308982,1.2168631049836063,True
P004_M0525_eta0575,0.5249999999999999,0.575,0.4893837802532895,0.2648901930608749,0.2650902566030651,0.12669639856684306,0.13819379449403185,0.13839385803622206,1.0907476144329622,1.0923266928002504,True
P005_M0525_eta0631,0.5249999999999999,0.63125,0.5372582804954592,0.2259934983165984,0.2264247570870654,0.11615429644062275,0.10983920187597565,0.11027046064644264,0.9456318469642203,0.949344656422693,True
P003_M0525_eta0669,0.5249999999999999,0.6687500000000001,0.569174613990239,0.2018768151231679,0.2013865697765539,0.10950744936165646,0.09236936576151145,0.09187912041489743,0.8434984679120301,0.8390216460202614,True
P004_M0525_eta0725,0.5249999999999999,0.7250000000000001,0.6170491142324087,0.1649187017860238,0.1648333466701015,0.1,0.0649187017860238,0.06483334667010149,0.6491870178602379,0.6483334667010149,True
P005_M0525_eta0781,0.5249999999999999,0.78125,0.6649236144745783,0.1284401943639959,0.1293748062394885,0.08376918334141124,0.04467101102258465,0.04560562289807725,0.5332630597641456,0.5444200489839578,True
P003_M0525_eta0815,0.5249999999999999,0.8150000000000001,0.6936483146198801,0.1089634640754555,0.108578829877945,0.07399547089597468,0.03496799317948082,0.03458335898197032,0.4725693715584296,0.4673712939889087,True
P004_M0525_eta0860,0.5249999999999999,0.8600000000000001,0.7319479148136158,0.0815399011869378,0.0813650890088987,0.06047907695315652,0.021060824233781278,0.020886012055742184,0.3482332286601155,0.3453427715492292,True
P005_M0525_eta0905,0.5249999999999999,0.905,0.7702475150073514,0.053613224856805,0.0546938088782313,0.04528474409017415,0.008328480766630855,0.009409064788057149,0.18391361006803092,0.2077755980981401,True
P003_M0525_eta0928,0.5249999999999999,0.9275,0.7893973151042193,0.0415652919048743,0.0415468886769119,0.03506088882685916,0.006504403078015135,0.006485999850052736,0.1855173469827238,0.1849924536164067,True
P004_M0525_eta0950,0.5249999999999999,0.95,0.8085471152010871,0.0287842857551356,0.0284905964474299,0.024823615555896586,0.003960670199239014,0.0036669808915333127,0.1595525112093592,0.14772146641073244,True
P005_M0525_eta0972,0.5249999999999999,0.9725,0.827696915297955,0.0148210227937943,0.0149776911289822,0.013799902934041364,0.0010211198597529364,0.001177788194940835,0.07399471319715267,0.08534757096265419,True
P012_M0550_eta0375,0.55,0.375,0.3131867454091887,0.410017316887143,0.4088856638486863,0.1577427504778961,0.2522745664092469,0.2511429133707902,1.599278354440746,1.592104312939452,True
P013_M0550_eta0450,0.55,0.45,0.3758240944910265,0.3506674409920319,0.3507428974730541,0.15035263730617437,0.20031480368585752,0.20039026016687972,1.3322999002534384,1.3328017636219442,True
P014_M0550_eta0525,0.55,0.525,0.4384614435728642,0.2949400822974244,0.2959210762797267,0.13449987158764024,0.16044021070978418,0.16142120469208646,1.1928651590216663,1.2001588015413402,True
P015_M0650_eta0375,0.65,0.375,0.2849753278794499,0.3802894004181678,0.3794128838955074,0.1391415163275494,0.24114788409061838,0.24027136756795803,1.73311237691947,1.726812916156106,True
P016_M0650_eta0450,0.65,0.45,0.3419703934553399,0.3260087836233643,0.3259068545472933,0.13058486194488703,0.19542392167847725,0.19532199260240626,1.4965281485763287,1.4957475904430741,True
P017_M0650_eta0525,0.65,0.525,0.3989654590312299,0.2739885392146922,0.2753318900841399,0.11970858846916907,0.15427995074552311,0.15562330161497082,1.288796006355533,1.3000178483856368,True
P000_M0680_eta0025,0.68,0.025,0.0183303027798233,0.6724682664952881,0.6717642686575268,0.15075208003513257,0.5217161864601556,0.5210121886223942,3.460756139076624,3.45608623443851,True
P001_M0680_eta0040,0.68,0.04,0.0293284844477173,0.6551724883838138,0.6559887595139754,0.15029005199196394,0.5048824363918498,0.5056987075220114,3.359386930139901,3.364818235268501,True
P002_M0680_eta0055,0.68,0.055,0.0403266661156113,0.6410051375004693,0.6405677085746475,0.14996497235926953,0.49104016514119975,0.490602736215378,3.2743657229824303,3.271448849002193,True
P006_M0700_eta0025,0.7,0.025,0.0178535710713571,0.6588622771303955,0.6596132946674949,0.14375643453679332,0.5151058425936021,0.5158568601307015,3.5831846014639774,3.5884088374400527,True
P007_M0700_eta0040,0.7,0.04,0.0285657137141714,0.644341191163225,0.6441984704037252,0.1430840766475103,0.5012571145157146,0.5011143937562149,3.50323478517158,3.502237324358024,True
P008_M0700_eta0055,0.7,0.055,0.0392778563569856,0.6278749870934698,0.6291260357764576,0.14243611542142284,0.4854388716720469,0.4866899203550348,3.408116475486493,3.416899702123125,True
P000_M0700_eta0059,0.7,0.05875,0.0419558920176892,0.6260490415995585,0.62540827279161,0.1423973937710057,0.48365164782855286,0.48301087902060436,3.39649227433425,3.3919924110222923,True
P001_M0700_eta0085,0.7,0.0849999999999999,0.0607021416426142,0.5991873626432677,0.5999197106424389,0.14210161088980705,0.4570857517534606,0.4578180997526318,3.216612034805915,3.221765727255884,True
P002_M0700_eta0111,0.7,0.11125,0.0794483912675392,0.5755079322665787,0.5753122227679336,0.14141329998463187,0.43409463228194684,0.4338989227833017,3.0696874503962652,3.0683034964211697,True
