dataset,source_id,chart,Mach,alpha,reference_ci
T401,75,C02,1.0,0.265,0.0549398320238557
T401,76,C02,1.0,0.27,0.051985341826045
T401,77,C02,1.0,0.275,0.0490435280560056
T401,78,C02,1.0,0.28,0.0461140721276878
T401,79,C02,1.0,0.29,0.040290999984792
T401,80,C02,1.0,0.305,0.0316415687502149
T401,81,C02,1.0,0.32,0.0230876654706422
T401,82,C02,1.0,0.335,0.0146222731676132
T401,83,C02,1.0,0.35,0.0062388836682454
T401,84,C02,1.05,0.21,0.0836991521051234
T401,85,C02,1.05,0.23,0.0717284575596431
T401,86,C02,1.05,0.245,0.0628719847849637
T401,87,C02,1.05,0.255,0.0570224832728613
T401,88,C02,1.05,0.27,0.0483265652104133
T401,89,C02,1.05,0.28,0.0425793352053555
T401,90,C02,1.05,0.295,0.0340299881358211
T401,91,C02,1.05,0.31,0.0255623444256405
T401,92,C02,1.05,0.325,0.0171720129635716
T401,93,C02,1.05,0.34,0.0088548349733682
T401,94,C02,1.05,0.355,0.0006067672856304
T401,95,C02,1.1,0.21,0.0754917222519709
T401,96,C02,1.1,0.22,0.0697945900466464
T401,97,C02,1.1,0.23,0.0641319550045144
T401,98,C02,1.1,0.245,0.0557002486180792
T401,99,C02,1.1,0.26,0.0473401459935351
T401,100,C02,1.1,0.27,0.0418049284949206
T401,101,C02,1.1,0.28,0.0362992172070976
T401,102,C02,1.1,0.29,0.0308221720963001
T401,103,C02,1.1,0.305,0.0226586211744938
T401,104,C02,1.1,0.31,0.0199509324746749
T401,105,C02,1.1,0.315,0.0172498403916324
T401,106,C02,1.1,0.325,0.0118671046042683
T401,107,C02,1.1,0.335,0.0065097464852899
T401,108,C02,1.1,0.345,0.0011771278177396
T401,109,C02,1.15,0.21,0.0668142840877893
T401,110,C02,1.15,0.225,0.0587506164605508
T401,111,C02,1.15,0.24,0.0507385639093399
T401,112,C02,1.15,0.245,0.048079054596058
T401,113,C02,1.15,0.255,0.0427764608549247
T401,114,C02,1.15,0.27,0.0348628766548256
T401,115,C02,1.15,0.28,0.0296134911601608
T401,116,C02,1.15,0.295,0.0217781061290199
T401,117,C02,1.15,0.305,0.0165798894695289
T401,118,C02,1.15,0.315,0.0114016668043197
T401,119,C02,1.15,0.325,0.0062432011009221
T401,120,C02,1.15,0.335,0.0011041412933339
T401,121,C02,1.2,0.21,0.0584207255229755
T401,122,C02,1.2,0.22,0.0533524111085035
T401,123,C02,1.2,0.235,0.0457721821085441
T401,124,C02,1.2,0.245,0.0407339128760973
T401,125,C02,1.2,0.255,0.035708125553459
T401,126,C02,1.2,0.27,0.0281934209134859
T401,127,C02,1.2,0.28,0.0231999783501148
T401,128,C02,1.2,0.29,0.0182199207352464
T401,129,C02,1.2,0.305,0.010775474028804
T401,130,C02,1.2,0.325,0.0008989707890822
T401,131,C10,1.25,0.055,0.1227178308038424
T401,132,C10,1.25,0.06,0.1205332173435139
T401,133,C10,1.25,0.065,0.1183283201500585
T401,134,C10,1.25,0.07,0.1161052740495865
T401,135,C10,1.25,0.085,0.1093447708499076
T401,136,C10,1.25,0.1,0.1024759826612526
T401,137,C10,1.25,0.11,0.0978506750682412
T401,138,C10,1.3,0.05,0.1092546527199461
T401,139,C10,1.3,0.065,0.1041639159691191
T401,140,C10,1.3,0.08,0.0986490553402817
T401,141,C10,1.3,0.095,0.0928297172883899
T401,142,C10,1.3,0.105,0.0888207778196162
T401,143,C10,1.3,0.115,0.0847285306293376
T401,144,C10,1.35,0.06,0.0921176882388758
T401,145,C10,1.35,0.07,0.0895122772162717
T401,146,C10,1.35,0.085,0.0850637216319111
T401,147,C10,1.35,0.095,0.0818233107467824
T401,148,C10,1.35,0.105,0.0784113579145111
T401,149,C10,1.35,0.11,0.0766507552701587
T401,150,C10,1.4,0.055,0.080102566612191
T401,151,C10,1.4,0.065,0.0787065106241082
T401,152,C10,1.4,0.08,0.0756907205857265
T401,153,C10,1.4,0.09,0.0732297072154944
T401,154,C10,1.4,0.1,0.0704955574151523
T401,155,C10,1.4,0.115,0.0659925696254854
T401,156,C11,1.25,0.12,0.0931959386996336
T401,157,C11,1.25,0.125,0.0908591657147537
T401,158,C11,1.25,0.13,0.0885168779525414
T401,159,C11,1.25,0.135,0.0861695821740407
T401,160,C11,1.25,0.14,0.0838177442773477
T401,161,C11,1.25,0.15,0.0791021284512497
T401,162,C11,1.25,0.165,0.072004408591219
T401,163,C11,1.25,0.175,0.0672601587494335
T401,164,C11,1.25,0.185,0.0625085633894292
T401,165,C11,1.25,0.2,0.0553716212071203
T401,166,C11,1.3,0.125,0.0805663184923582
T401,167,C11,1.3,0.14,0.0742149320251794
T401,168,C11,1.3,0.15,0.0699210503103882
T401,169,C11,1.3,0.165,0.0634079026984927
T401,170,C11,1.3,0.18,0.0568244575691361
T401,171,C11,1.3,0.19,0.0524040829124998
T401,172,C11,1.3,0.205,0.0457359573632657
T401,173,C11,1.35,0.12,0.0730358087275012
T401,174,C11,1.35,0.13,0.0693127042819089
T401,175,C11,1.35,0.14,0.065498137605778
T401,176,C11,1.35,0.15,0.0616057159092201
T401,177,C11,1.35,0.16,0.0576466978458383
T401,178,C11,1.35,0.175,0.0516035602251204
T401,179,C11,1.35,0.19,0.0454576540431336
T401,180,C11,1.35,0.195,0.0433899218473674
T401,181,C11,1.35,0.205,0.0392299223989418
T401,182,C11,1.4,0.13,0.0611151985503771
T401,183,C11,1.4,0.145,0.0559501968448136
T401,184,C11,1.4,0.16,0.0505600727271105
T401,185,C11,1.4,0.17,0.0468651382343523
T401,186,C11,1.4,0.18,0.0431021730901373
T401,187,C11,1.4,0.195,0.0373503591752265
T401,188,C11,1.4,0.205,0.0334556201732537
T401,189,C12,1.25,0.21,0.0506097964643259
T401,190,C12,1.25,0.22,0.0458466775087439
T401,191,C12,1.25,0.23,0.0410836573707542
T401,192,C12,1.25,0.24,0.036322018907998
T401,193,C12,1.25,0.25,0.0315629485870253
T401,194,C12,1.25,0.26,0.026807548410821
T401,195,C12,1.25,0.27,0.0220568452413984
T401,196,C12,1.25,0.28,0.0173117979143134
T401,197,C12,1.25,0.295,0.0102067782825361
T401,198,C12,1.25,0.305,0.0054796730125314
T401,199,C12,1.3,0.21,0.0435048963481715
T401,200,C12,1.3,0.22,0.0390324736865274
T401,201,C12,1.3,0.23,0.0345485414177597
T401,202,C12,1.3,0.24,0.030055544403957
T401,203,C12,1.3,0.255,0.0233038543659301
T401,204,C12,1.3,0.26,0.0210510400997556
T401,205,C12,1.3,0.27,0.0165434109647926
T401,206,C12,1.3,0.28,0.0120345149244255
T401,207,C12,1.3,0.29,0.0075259175747822
T401,208,C12,1.3,0.305,0.0007663018022479
T401,209,C12,1.35,0.21,0.037138876949919
T401,210,C12,1.35,0.225,0.0308281493607343
T401,211,C12,1.35,0.235,0.0265945609610555
T401,212,C12,1.35,0.245,0.0223439085234755
T401,213,C12,1.35,0.255,0.0180792982433239
T401,214,C12,1.35,0.27,0.0116622774727566
T401,215,C12,1.35,0.28,0.0073744851632601
T401,216,C12,1.35,0.295,0.0009334624149684
T401,217,C12,1.4,0.22,0.0275396213065948
T401,218,C12,1.4,0.235,0.021551433545976
T401,219,C12,1.4,0.25,0.0155067696233285
T401,220,C12,1.4,0.26,0.0114522448996731
T401,221,C12,1.4,0.27,0.0073819678356949
T401,222,C12,1.4,0.285,0.001253626453456
T401,223,C20,1.45,0.055,0.0684112391288648
T401,224,C20,1.45,0.065,0.0679358880480178
T401,225,C20,1.45,0.075,0.0667899812334504
T401,226,C20,1.45,0.085,0.0651403110606665
T401,227,C20,1.45,0.1,0.0619587369313397
T401,228,C20,1.45,0.11,0.0594747193281552
T401,229,C20,1.5,0.05,0.0578781158051297
T401,230,C20,1.5,0.065,0.0586404622091123
T401,231,C20,1.5,0.075,0.0581127147885543
T401,232,C20,1.5,0.09,0.0562632320216114
T401,233,C20,1.5,0.1,0.0545024471140046
T401,234,C20,1.5,0.115,0.0512712829522548
T401,235,C20,1.55,0.055,0.0500136695789316
T401,236,C20,1.55,0.065,0.0507775752636187
T401,237,C20,1.55,0.075,0.0507066573395572
T401,238,C20,1.55,0.09,0.0494574826476193
T401,239,C20,1.55,0.1,0.0480504120008845
T401,240,C20,1.55,0.115,0.0452945808224513
T401,241,C20,1.6,0.05,0.0421909590288649
T401,242,C20,1.6,0.06,0.0437857312429802
T401,243,C20,1.6,0.07,0.0444157003676643
T401,244,C20,1.6,0.08,0.0443109431210614
T401,245,C20,1.6,0.095,0.0431154410476996
T401,246,C20,1.6,0.105,0.0417841166306905
T401,247,C20,1.6,0.115,0.0401163544206415
T401,248,C21,1.45,0.125,0.0553327091569246
T401,249,C21,1.45,0.13,0.0538600495140795
T401,250,C21,1.45,0.135,0.0523477554749174
T401,251,C21,1.45,0.145,0.0492167811364693
T401,252,C21,1.45,0.15,0.0476035893642579
T401,253,C21,1.45,0.155,0.0459618202213174
T401,254,C21,1.45,0.17,0.0408855647331534
T401,255,C21,1.45,0.185,0.0356190876845879
T401,256,C21,1.45,0.2,0.0302003605398189
T401,257,C21,1.5,0.12,0.0500656877706976
T401,258,C21,1.5,0.135,0.0461383483534535
T401,259,C21,1.5,0.145,0.0433022950552245
T401,260,C21,1.5,0.155,0.0403227693778328
T401,261,C21,1.5,0.165,0.037220759251363
T401,262,C21,1.5,0.18,0.0323754101889196
T401,263,C21,1.5,0.195,0.0273406565891719
T401,264,C21,1.55,0.125,0.0431153363587604
T401,265,C21,1.55,0.14,0.0394437041921252
T401,266,C21,1.55,0.155,0.0353855213943005
T401,267,C21,1.55,0.165,0.0325068501349592
T401,268,C21,1.55,0.175,0.0295124929276855
T401,269,C21,1.55,0.185,0.026418540738433
T401,270,C21,1.55,0.195,0.0232386568260199
T401,271,C21,1.55,0.205,0.0199845464822127
T401,272,C21,1.6,0.13,0.0371067899327223
T401,273,C21,1.6,0.145,0.0336135353339394
T401,274,C21,1.6,0.15,0.0323607435469634
T401,275,C21,1.6,0.165,0.0283818407079103
T401,276,C21,1.6,0.18,0.0241253711968871
T401,277,C21,1.6,0.19,0.0211614469974055
T401,278,C21,1.6,0.2,0.0181124667794624
T401,279,C21,1.6,0.205,0.0165597496753443
T401,280,C22,1.45,0.21,0.0265184654739268
T401,281,C22,1.45,0.215,0.0246595970403425
T401,282,C22,1.45,0.225,0.0209102435862027
T401,283,C22,1.45,0.24,0.015218336859977
T401,284,C22,1.45,0.25,0.0113861721952798
T401,285,C22,1.45,0.265,0.0055929692429906
T401,286,C22,1.5,0.21,0.0221540099667619
T401,287,C22,1.5,0.225,0.0168455808336089
T401,288,C22,1.5,0.23,0.0150534184547582
T401,289,C22,1.5,0.25,0.0077922850962732
T401,290,C22,1.5,0.26,0.004115655538778
T401,291,C22,1.5,0.27,0.0004165216734289
T401,292,C22,1.55,0.21,0.0183328687272645
T401,293,C22,1.55,0.22,0.0149859443586828
T401,294,C22,1.55,0.225,0.0132927462409877
T401,295,C22,1.55,0.24,0.0081451682787826
T401,296,C22,1.55,0.255,0.0029122494920112
T401,297,C22,1.6,0.215,0.0134043239656545
T401,298,C22,1.6,0.225,0.010189872762395
T401,299,C22,1.6,0.235,0.0069245349381622
T401,300,C22,1.6,0.245,0.0036154516817713
T401,301,C22,1.6,0.255,0.0002641241639164
T401,302,C30,1.65,0.06,0.0382282042683652
T401,303,C30,1.65,0.065,0.0387347851787765
T401,304,C30,1.65,0.07,0.0390396543196021
T401,305,C30,1.65,0.075,0.0391659824628922
T401,306,C30,1.65,0.08,0.0391335349544385
T401,307,C30,1.65,0.085,0.0389592637888102
T401,308,C30,1.65,0.09,0.0386577878381246
T401,309,C30,1.65,0.095,0.0382417808850598
T401,310,C30,1.65,0.105,0.0371089849032892
T401,311,C30,1.65,0.115,0.0356340166933869
T401,312,C30,1.7,0.055,0.0328730981616968
T401,313,C30,1.7,0.07,0.0345304998550194
T401,314,C30,1.7,0.085,0.0346371917969951
T401,315,C30,1.7,0.1,0.0336152959532578
T401,316,C30,1.7,0.115,0.0317496256303763
T401,317,C30,1.75,0.05,0.028092539405828
T401,318,C30,1.75,0.065,0.0303596785574145
T401,319,C30,1.75,0.075,0.0309439168181252
T401,320,C30,1.75,0.085,0.0309448952275353
T401,321,C30,1.75,0.095,0.0304656084045474
T401,322,C30,1.75,0.11,0.0290193382153662
T401,323,C30,1.8,0.05,0.0249681660027234
T401,324,C30,1.8,0.065,0.0271417206997999
T401,325,C30,1.8,0.08,0.0278170962157899
T401,326,C30,1.8,0.095,0.0273592335192714
T401,327,C30,1.8,0.11,0.0260327857055341
T401,328,C30,1.85,0.055,0.0232188116701575
T401,329,C30,1.85,0.065,0.0244076340678053
T401,330,C30,1.85,0.075,0.0249820528631137
T401,331,C30,1.85,0.09,0.0249013621796004
T401,332,C30,1.85,0.1,0.0243321927216004
T401,333,C30,1.85,0.11,0.023423336656071
T401,334,C30,1.9,0.05,0.0201545403695674
T401,335,C30,1.9,0.065,0.0220661663779487
T401,336,C30,1.9,0.08,0.0226924045559811
T401,337,C30,1.9,0.09,0.0225351864585413
T401,338,C30,1.9,0.1,0.0219970508320953
T401,339,C30,1.9,0.11,0.021133384910942
T401,340,C30,1.9,0.125,0.0193271425190721
T401,341,C31,1.65,0.125,0.0338739918486313
T401,342,C31,1.65,0.135,0.0318742835335322
T401,343,C31,1.65,0.145,0.0296714980138063
T401,344,C31,1.65,0.155,0.0272955794891602
T401,345,C31,1.65,0.17,0.0234601973409518
T401,346,C31,1.65,0.175,0.0221195036513732
T401,347,C31,1.65,0.185,0.0193576634963331
T401,348,C31,1.65,0.195,0.0165007718675845
T401,349,C31,1.65,0.205,0.0135616824161808
T401,350,C31,1.7,0.125,0.0301376975396052
T401,351,C31,1.7,0.135,0.0282844270120357
T401,352,C31,1.7,0.145,0.0262258940125742
T401,353,C31,1.7,0.155,0.0239918542277745
T401,354,C31,1.7,0.165,0.0216071120197366
T401,355,C31,1.7,0.175,0.0190925449656912
T401,356,C31,1.7,0.185,0.0164658740674279
T401,357,C31,1.7,0.195,0.0137422547294503
T401,358,C31,1.7,0.205,0.0109347319530853
T401,359,C31,1.75,0.12,0.0276599521475727
T401,360,C31,1.75,0.13,0.026040837011041
T401,361,C31,1.75,0.145,0.0232075905536416
T401,362,C31,1.75,0.155,0.0210935694595094
T401,363,C31,1.75,0.165,0.018828570909226
T401,364,C31,1.75,0.17,0.0176460441250757
T401,365,C31,1.75,0.18,0.0151923791554015
T401,366,C31,1.75,0.195,0.0113198117294429
T401,367,C31,1.75,0.205,0.0086298225268226
T401,368,C31,1.8,0.12,0.0247637524176646
T401,369,C31,1.8,0.13,0.0232401554047952
T401,370,C31,1.8,0.145,0.0205562890486093
T401,371,C31,1.8,0.16,0.017481000149528
T401,372,C31,1.8,0.17,0.0152523837741779
T401,373,C31,1.8,0.18,0.0129033521196374
T401,374,C31,1.8,0.19,0.0104499966754561
T401,375,C31,1.8,0.205,0.0066042173213696
T401,376,C31,1.85,0.13,0.0207788968142683
T401,377,C31,1.85,0.14,0.0191200257294819
T401,378,C31,1.85,0.15,0.0172778284543149
T401,379,C31,1.85,0.16,0.0152772826546179
T401,380,C31,1.85,0.17,0.0131396943212481
T401,381,C31,1.85,0.185,0.0097156225772121
T401,382,C31,1.85,0.195,0.007309950569727
T401,383,C31,1.85,0.205,0.0048209924504837
T401,384,C31,1.9,0.14,0.0170185388552902
T401,385,C31,1.9,0.15,0.0152503044485099
T401,386,C31,1.9,0.16,0.0133273114657672
T401,387,C31,1.9,0.18,0.009096481823104
T401,388,C31,1.9,0.205,0.0032484016832047
T401,389,C32,1.65,0.21,0.0120648450484804
T401,390,C32,1.65,0.215,0.0105515052181564
T401,391,C32,1.65,0.22,0.0090228265664929
T401,392,C32,1.65,0.225,0.0074798945712252
T401,393,C32,1.65,0.24,0.0027754388739638
T401,394,C32,1.7,0.21,0.0095030958822338
T401,395,C32,1.7,0.225,0.0051116684727593
T401,396,C32,1.7,0.24,0.0005983786311341
T401,397,C32,1.75,0.215,0.0058666599725996
T401,398,C32,1.75,0.235,0.0001659878864715
T401,399,C32,1.8,0.22,0.0025938712316997
T401,400,C32,1.85,0.215,0.0022597848077579
