task_index,role,Mach,alpha,sweep,setting,reference_setting,level,accepted,residual_norm,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_c_error
1,peak_growth,1.1,0.17,integration,accuracy_coarse,strict_L40_y1,0.5,True,3.433317725561713e-13,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,integration,accuracy_nominal,strict_L40_y1,0.25,True,5.220307033614975e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,integration,strict_L40_y1,strict_L40_y1,40.0,True,5.7652975576971655e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,matching,matching_y0p5,strict_L40_y1,0.5,True,1.5520125011926548e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,matching,strict_L40_y1,strict_L40_y1,40.0,True,5.7652975576971655e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,matching,matching_y1p5,strict_L40_y1,1.5,True,9.218113073751438e-11,0.0,0.0,0.0,0.0
2,near_neutral,1.1,0.345,box,box_L20,box_L50,20.0,True,7.889871506181046e-11,2.0996315797106035e-11,1.1056879999256364e-10,3.814630002933056e-11,1.1254467916719718e-10
2,near_neutral,1.1,0.345,box,box_L30,box_L50,30.0,True,7.660114703119109e-11,1.9863305444900448e-11,1.1317469986345252e-10,3.904530003354459e-11,1.1490458473176765e-10
2,near_neutral,1.1,0.345,box,strict_L40_y1,box_L50,40.0,True,3.3210118830562037e-12,4.4075854077618715e-14,2.3999899290139126e-15,8.999962233802172e-16,4.414114706632471e-14
2,near_neutral,1.1,0.345,box,box_L50,box_L50,50.0,True,2.4106461581385378e-12,0.0,0.0,0.0,0.0
2,near_neutral,1.1,0.345,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.8804075248682974e-13,1.6881391870504636e-07,2.4738098000198078e-09,8.534644000096452e-10,1.6883204341439653e-07
2,near_neutral,1.1,0.345,integration,accuracy_nominal,strict_L40_y1,0.25,True,3.1482558436801604e-10,7.095629639408685e-11,7.974230000276639e-11,2.7511100006167438e-11,1.0674095000372021e-10
2,near_neutral,1.1,0.345,integration,strict_L40_y1,strict_L40_y1,40.0,True,3.3210118830562037e-12,0.0,0.0,0.0,0.0
2,near_neutral,1.1,0.345,matching,matching_y0p5,strict_L40_y1,0.5,True,1.6152911601854529e-12,5.686007220617739e-13,2.3130000519067107e-13,7.979999040036434e-14,6.138456430816913e-13
2,near_neutral,1.1,0.345,matching,strict_L40_y1,strict_L40_y1,40.0,True,3.3210118830562037e-12,0.0,0.0,0.0,0.0
2,near_neutral,1.1,0.345,matching,matching_y1p5,strict_L40_y1,1.5,True,1.1743758549843456e-11,1.6359136267851682e-13,8.270012279154582e-14,2.860000647766925e-14,1.833069672782537e-13
3,low_alpha,1.15,0.06,box,box_L20,box_L50,20.0,True,6.746127911737097e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,box,box_L30,box_L50,30.0,True,6.746128007325593e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,box,strict_L40_y1,box_L50,40.0,True,6.7463179961024715e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,box,box_L50,box_L50,50.0,True,6.7463179961024715e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,integration,accuracy_coarse,strict_L40_y1,0.5,True,6.741168185925491e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,integration,accuracy_nominal,strict_L40_y1,0.25,True,6.745433171660205e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,integration,strict_L40_y1,strict_L40_y1,40.0,True,6.7463179961024715e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,matching,matching_y0p5,strict_L40_y1,0.5,True,2.719641986477794e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,matching,strict_L40_y1,strict_L40_y1,40.0,True,6.7463179961024715e-09,0.0,0.0,0.0,0.0
3,low_alpha,1.15,0.06,matching,matching_y1p5,strict_L40_y1,1.5,True,9.536500189296044e-09,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,box,box_L20,box_L50,20.0,True,7.305847407583755e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,box,box_L30,box_L50,30.0,True,7.305832785289024e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,box,strict_L40_y1,box_L50,40.0,True,7.316051088342864e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,box,box_L50,box_L50,50.0,True,7.316051088342864e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.0439055468680213e-13,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,integration,accuracy_nominal,strict_L40_y1,0.25,True,7.040180787714661e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,integration,strict_L40_y1,strict_L40_y1,40.0,True,7.316051088342864e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,matching,matching_y0p5,strict_L40_y1,0.5,True,1.7653260811316998e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,matching,strict_L40_y1,strict_L40_y1,40.0,True,7.316051088342864e-11,0.0,0.0,0.0,0.0
4,peak_growth,1.15,0.165,matching,matching_y1p5,strict_L40_y1,1.5,True,1.1933330119985418e-10,0.0,0.0,0.0,0.0
5,near_neutral,1.15,0.335,box,box_L20,box_L50,20.0,True,9.972191999706248e-12,1.6898704657819508e-11,1.4081819998262857e-10,4.7174100021273035e-11,1.418285290957351e-10
5,near_neutral,1.15,0.335,box,box_L30,box_L50,30.0,True,1.0400577546381718e-11,1.1117995413201243e-11,1.4061839995367642e-10,4.710710001330082e-11,1.4105723741637672e-10
5,near_neutral,1.15,0.335,box,strict_L40_y1,box_L50,40.0,True,1.483201604266745e-11,1.9219903446554554e-11,1.5884300168592103e-11,5.321299987020439e-12,2.4934227085290107e-11
5,near_neutral,1.15,0.335,box,box_L50,box_L50,50.0,True,5.794739976776461e-12,0.0,0.0,0.0,0.0
5,near_neutral,1.15,0.335,integration,accuracy_coarse,strict_L40_y1,0.5,True,4.209782154403904e-12,8.526150641063879e-08,1.3657875150003933e-07,4.575388179998063e-08,1.6100708008258797e-07
5,near_neutral,1.15,0.335,integration,accuracy_nominal,strict_L40_y1,0.25,True,6.16950775027934e-12,2.434528689754245e-09,2.4768510001240557e-09,8.297450999937908e-10,3.4729988220631543e-09
5,near_neutral,1.15,0.335,integration,strict_L40_y1,strict_L40_y1,40.0,True,1.483201604266745e-11,0.0,0.0,0.0,0.0
5,near_neutral,1.15,0.335,matching,matching_y0p5,strict_L40_y1,0.5,True,1.5641166126116596e-12,8.966716258385077e-13,2.588001427744624e-13,8.670001565638796e-14,9.33272478156275e-13
5,near_neutral,1.15,0.335,matching,strict_L40_y1,strict_L40_y1,40.0,True,1.483201604266745e-11,0.0,0.0,0.0,0.0
5,near_neutral,1.15,0.335,matching,matching_y1p5,strict_L40_y1,1.5,True,3.0294405733849025e-11,1.748046152272309e-13,1.171001230010349e-13,3.929999771792869e-14,2.1040221555772113e-13
6,low_alpha,1.2,0.05,box,box_L20,box_L50,20.0,True,2.29650383638734e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,box,box_L30,box_L50,30.0,True,2.296509632651932e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,box,strict_L40_y1,box_L50,40.0,True,2.310432970717817e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,box,box_L50,box_L50,50.0,True,2.310432970717817e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.4681504162770537e-12,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,integration,accuracy_nominal,strict_L40_y1,0.25,True,2.228222626428533e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,integration,strict_L40_y1,strict_L40_y1,40.0,True,2.310432970717817e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,matching,matching_y0p5,strict_L40_y1,0.5,True,8.177968875576452e-12,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,matching,strict_L40_y1,strict_L40_y1,40.0,True,2.310432970717817e-11,0.0,0.0,0.0,0.0
6,low_alpha,1.2,0.05,matching,matching_y1p5,strict_L40_y1,1.5,True,3.3535023143796784e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,box,box_L20,box_L50,20.0,True,8.512824816578583e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,box,box_L30,box_L50,30.0,True,8.512813439554119e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,box,strict_L40_y1,box_L50,40.0,True,8.512498610314977e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,box,box_L50,box_L50,50.0,True,8.512498610314977e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,integration,accuracy_coarse,strict_L40_y1,0.5,True,5.5393579982319775e-14,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,integration,accuracy_nominal,strict_L40_y1,0.25,True,8.277448513412029e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,integration,strict_L40_y1,strict_L40_y1,40.0,True,8.512498610314977e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,matching,matching_y0p5,strict_L40_y1,0.5,True,1.8353256825388405e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,matching,strict_L40_y1,strict_L40_y1,40.0,True,8.512498610314977e-11,0.0,0.0,0.0,0.0
7,peak_growth,1.2,0.16,matching,matching_y1p5,strict_L40_y1,1.5,True,1.414327718998224e-10,0.0,0.0,0.0,0.0
8,near_neutral,1.2,0.325,box,box_L20,box_L50,20.0,True,8.182711003013914e-11,2.910327534522139e-11,3.098904999797314e-10,1.0071439998171963e-10,3.112541126049705e-10
8,near_neutral,1.2,0.325,box,box_L30,box_L50,30.0,True,2.2340497138318517e-10,3.254035929600718e-11,2.9420489991698745e-10,9.561659997841046e-11,2.9599898330615573e-10
8,near_neutral,1.2,0.325,box,strict_L40_y1,box_L50,40.0,True,4.8710525456787873e-11,2.1916912729125215e-12,2.3578000446153324e-12,7.663000008845122e-13,3.2191197067131526e-12
8,near_neutral,1.2,0.325,box,box_L50,box_L50,50.0,True,7.646214758004419e-11,0.0,0.0,0.0,0.0
8,near_neutral,1.2,0.325,integration,accuracy_coarse,strict_L40_y1,0.5,True,8.807714520500197e-12,2.602400323015175e-08,2.9754161869999067e-07,9.670102610001043e-08,2.986775244351901e-07
8,near_neutral,1.2,0.325,integration,accuracy_nominal,strict_L40_y1,0.25,True,7.065507088375128e-12,4.605843595406611e-09,4.807763599994769e-09,1.562523200019858e-09,6.657956597844624e-09
8,near_neutral,1.2,0.325,integration,strict_L40_y1,strict_L40_y1,40.0,True,4.8710525456787873e-11,0.0,0.0,0.0,0.0
8,near_neutral,1.2,0.325,matching,matching_y0p5,strict_L40_y1,0.5,True,7.592378135971044e-12,2.5454638397093277e-12,8.155000112697319e-13,2.649999902674949e-13,2.6729059893024083e-12
8,near_neutral,1.2,0.325,matching,strict_L40_y1,strict_L40_y1,40.0,True,4.8710525456787873e-11,0.0,0.0,0.0,0.0
8,near_neutral,1.2,0.325,matching,matching_y1p5,strict_L40_y1,1.5,True,1.0703671837531664e-10,1.5054624213917123e-13,1.1850004484614818e-13,3.850001914496026e-14,1.9158922634314568e-13
9,low_alpha,1.25,0.05,box,box_L20,box_L50,20.0,True,2.401113640124804e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,box,box_L30,box_L50,30.0,True,2.401113397579216e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,box,strict_L40_y1,box_L50,40.0,True,2.4018815479912345e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,box,box_L50,box_L50,50.0,True,2.4018815479912345e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.7587917045441757e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,integration,accuracy_nominal,strict_L40_y1,0.25,True,2.3987744187458506e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,integration,strict_L40_y1,strict_L40_y1,40.0,True,2.4018815479912345e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,matching,matching_y0p5,strict_L40_y1,0.5,True,7.390825887384094e-11,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,matching,strict_L40_y1,strict_L40_y1,40.0,True,2.4018815479912345e-10,0.0,0.0,0.0,0.0
9,low_alpha,1.25,0.05,matching,matching_y1p5,strict_L40_y1,1.5,True,3.5976419040297516e-10,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,box,box_L20,box_L50,20.0,True,4.3479470128683556e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,box,box_L30,box_L50,30.0,True,4.347931169151989e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,box,strict_L40_y1,box_L50,40.0,True,4.344090130009076e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,box,box_L50,box_L50,50.0,True,4.344090130009076e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.8784481999806804e-14,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,integration,accuracy_nominal,strict_L40_y1,0.25,True,3.9493850250643335e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,integration,strict_L40_y1,strict_L40_y1,40.0,True,4.344090130009076e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,matching,matching_y0p5,strict_L40_y1,0.5,True,8.113323995073197e-12,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,matching,strict_L40_y1,strict_L40_y1,40.0,True,4.344090130009076e-11,0.0,0.0,0.0,0.0
10,peak_growth,1.25,0.16,matching,matching_y1p5,strict_L40_y1,1.5,True,7.389248130966993e-11,0.0,0.0,0.0,0.0
11,near_neutral,1.25,0.315,box,box_L20,box_L50,20.0,True,7.884255289524245e-11,4.0309056092979745e-10,8.267750004585517e-11,2.604339999407769e-11,4.1148216161157114e-10
11,near_neutral,1.25,0.315,box,box_L30,box_L50,30.0,True,3.75079960586311e-10,3.830377681701691e-10,5.239140002909204e-11,1.650330000153681e-11,3.866041782518556e-10
11,near_neutral,1.25,0.315,box,strict_L40_y1,box_L50,40.0,True,9.746716766970796e-12,3.440808749033408e-11,9.585000002899913e-12,3.0193000064102776e-12,3.571818458149961e-11
11,near_neutral,1.25,0.315,box,box_L50,box_L50,50.0,True,3.4612223156449562e-12,0.0,0.0,0.0,0.0
11,near_neutral,1.25,0.315,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.302109253001542e-11,1.4507128420770954e-07,4.3379991910002125e-07,1.3664697449998833e-07,4.5741452459761157e-07
11,near_neutral,1.25,0.315,integration,accuracy_nominal,strict_L40_y1,0.25,True,1.0349826654692368e-11,4.192582891970886e-09,9.812443999696052e-10,3.0909200001458075e-10,4.305878757991064e-09
11,near_neutral,1.25,0.315,integration,strict_L40_y1,strict_L40_y1,40.0,True,9.746716766970796e-12,0.0,0.0,0.0,0.0
11,near_neutral,1.25,0.315,matching,matching_y0p5,strict_L40_y1,0.5,True,1.3511972991700648e-11,2.1524848570209087e-10,9.507565000045626e-10,2.9948820000022004e-10,9.748178460091756e-10
11,near_neutral,1.25,0.315,matching,strict_L40_y1,strict_L40_y1,40.0,True,9.746716766970796e-12,0.0,0.0,0.0,0.0
11,near_neutral,1.25,0.315,matching,matching_y1p5,strict_L40_y1,1.5,True,1.1787890784723432e-10,1.6978241035303654e-10,8.378535000129125e-10,2.6392379999669834e-10,8.548827722847001e-10
12,low_alpha,1.3,0.05,box,box_L20,box_L50,20.0,True,5.547561453602738e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,box,box_L30,box_L50,30.0,True,5.547558371904778e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,box,strict_L40_y1,box_L50,40.0,True,5.5581569465701106e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,box,box_L50,box_L50,50.0,True,5.5581569465701106e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,integration,accuracy_coarse,strict_L40_y1,0.5,True,5.2270227335352946e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,integration,accuracy_nominal,strict_L40_y1,0.25,True,5.475425978302879e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,integration,strict_L40_y1,strict_L40_y1,40.0,True,5.5581569465701106e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,matching,matching_y0p5,strict_L40_y1,0.5,True,1.5165554885461868e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,matching,strict_L40_y1,strict_L40_y1,40.0,True,5.5581569465701106e-11,0.0,0.0,0.0,0.0
12,low_alpha,1.3,0.05,matching,matching_y1p5,strict_L40_y1,1.5,True,8.537951522237482e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,box,box_L20,box_L50,20.0,True,3.1510575613259207e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,box,box_L30,box_L50,30.0,True,3.151042064827995e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,box,strict_L40_y1,box_L50,40.0,True,3.149681730604855e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,box,box_L50,box_L50,50.0,True,3.149681730604855e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,integration,accuracy_coarse,strict_L40_y1,0.5,True,3.705589528641861e-14,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,integration,accuracy_nominal,strict_L40_y1,0.25,True,2.8523129313593035e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,integration,strict_L40_y1,strict_L40_y1,40.0,True,3.149681730604855e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,matching,matching_y0p5,strict_L40_y1,0.5,True,5.129049868791337e-12,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,matching,strict_L40_y1,strict_L40_y1,40.0,True,3.149681730604855e-11,0.0,0.0,0.0,0.0
13,peak_growth,1.3,0.155,matching,matching_y1p5,strict_L40_y1,1.5,True,5.461509751069197e-11,0.0,0.0,0.0,0.0
14,near_neutral,1.3,0.305,box,box_L20,box_L50,20.0,True,3.5119153262925307e-12,2.697037038146277e-10,2.5195750000261974e-10,7.684709999963325e-11,3.6908355376377656e-10
14,near_neutral,1.3,0.305,box,box_L30,box_L50,30.0,True,1.0645852671558367e-11,2.63146116008528e-10,2.5701359996407186e-10,7.838919999767803e-11,3.6783402362596315e-10
14,near_neutral,1.3,0.305,box,strict_L40_y1,box_L50,40.0,True,9.5607741342753e-12,1.716760067438372e-11,1.2657600011525827e-11,3.8605000001867146e-12,2.132935420885684e-11
14,near_neutral,1.3,0.305,box,box_L50,box_L50,50.0,True,3.766129741918851e-11,0.0,0.0,0.0,0.0
14,near_neutral,1.3,0.305,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.025556055766028e-11,3.8275459579573123e-08,4.0746742849999754e-07,1.2427756569999867e-07,4.0926118322463483e-07
14,near_neutral,1.3,0.305,integration,accuracy_nominal,strict_L40_y1,0.25,True,3.4567377859555416e-11,3.167611117849134e-09,7.516948900029678e-09,2.292669399976948e-09,8.157100033687146e-09
14,near_neutral,1.3,0.305,integration,strict_L40_y1,strict_L40_y1,40.0,True,9.5607741342753e-12,0.0,0.0,0.0,0.0
14,near_neutral,1.3,0.305,matching,matching_y0p5,strict_L40_y1,0.5,True,1.1477939149417672e-12,1.7820189768258388e-12,3.6170003624158564e-13,1.1030000697520581e-13,1.8183560019931669e-12
14,near_neutral,1.3,0.305,matching,strict_L40_y1,strict_L40_y1,40.0,True,9.5607741342753e-12,0.0,0.0,0.0,0.0
14,near_neutral,1.3,0.305,matching,matching_y1p5,strict_L40_y1,1.5,True,4.139181416485187e-11,2.4591439995447217e-14,1.067999855219881e-13,3.259998065767433e-14,1.0959459762482159e-13
15,low_alpha,1.35,0.05,box,box_L20,box_L50,20.0,True,4.693759846995008e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,box,box_L30,box_L50,30.0,True,4.6937581076133175e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,box,strict_L40_y1,box_L50,40.0,True,4.7131980165464624e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,box,box_L50,box_L50,50.0,True,4.7131980165464624e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.3129072401961655e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,integration,accuracy_nominal,strict_L40_y1,0.25,True,4.3219597530265715e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,integration,strict_L40_y1,strict_L40_y1,40.0,True,4.7131980165464624e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,matching,matching_y0p5,strict_L40_y1,0.5,True,1.131616276333456e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,matching,strict_L40_y1,strict_L40_y1,40.0,True,4.7131980165464624e-11,0.0,0.0,0.0,0.0
15,low_alpha,1.35,0.05,matching,matching_y1p5,strict_L40_y1,1.5,True,7.416372358652817e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,box,box_L20,box_L50,20.0,True,8.157367546561453e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,box,box_L30,box_L50,30.0,True,8.157391403152854e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,box,strict_L40_y1,box_L50,40.0,True,8.142625092138827e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,box,box_L50,box_L50,50.0,True,8.142625092138827e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.09491217209792e-14,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,integration,accuracy_nominal,strict_L40_y1,0.25,True,7.883678755396209e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,integration,strict_L40_y1,strict_L40_y1,40.0,True,8.142625092138827e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,matching,matching_y0p5,strict_L40_y1,0.5,True,1.1193126481343627e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,matching,strict_L40_y1,strict_L40_y1,40.0,True,8.142625092138827e-11,0.0,0.0,0.0,0.0
16,peak_growth,1.35,0.155,matching,matching_y1p5,strict_L40_y1,1.5,True,1.4445580505102315e-10,0.0,0.0,0.0,0.0
17,near_neutral,1.35,0.295,box,box_L20,box_L50,20.0,True,3.300723452853166e-12,2.5757396215908557e-11,2.551600000082546e-10,7.527230000328039e-11,2.5645675866320195e-10
17,near_neutral,1.35,0.295,box,box_L30,box_L50,30.0,True,3.0754611062027004e-12,2.220396089214205e-11,2.6481769999520816e-10,7.812130001054463e-11,2.6574692869354454e-10
17,near_neutral,1.35,0.295,box,strict_L40_y1,box_L50,40.0,True,5.829571642959666e-11,1.7930101847696278e-12,7.079199964947491e-12,2.0884000366712396e-12,7.302736313629307e-12
17,near_neutral,1.35,0.295,box,box_L50,box_L50,50.0,True,3.745031172941199e-12,0.0,0.0,0.0,0.0
17,near_neutral,1.35,0.295,integration,accuracy_coarse,strict_L40_y1,0.5,True,2.729547257736644e-11,5.826461729752097e-08,1.8896964830005403e-07,5.574604629998573e-08,1.977480558879725e-07
17,near_neutral,1.35,0.295,integration,accuracy_nominal,strict_L40_y1,0.25,True,1.937244936182072e-09,1.0813830941813762e-09,5.183839000416635e-10,1.5292320003617438e-10,1.1992127685292933e-09
17,near_neutral,1.35,0.295,integration,strict_L40_y1,strict_L40_y1,40.0,True,5.829571642959666e-11,0.0,0.0,0.0,0.0
17,near_neutral,1.35,0.295,matching,matching_y0p5,strict_L40_y1,0.5,True,4.7037617232860575e-12,2.1631030300284237e-12,5.91500047726623e-13,1.745000086268711e-13,2.242518009956385e-12
17,near_neutral,1.35,0.295,matching,strict_L40_y1,strict_L40_y1,40.0,True,5.829571642959666e-11,0.0,0.0,0.0,0.0
17,near_neutral,1.35,0.295,matching,matching_y1p5,strict_L40_y1,1.5,True,1.35874155426141e-10,2.984279490192421e-13,1.1099996789776245e-13,3.269997120303181e-14,3.184026281756098e-13
18,low_alpha,1.4,0.05,box,box_L20,box_L50,20.0,True,3.9750126554272965e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,box,box_L30,box_L50,30.0,True,3.9750078756682864e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,box,strict_L40_y1,box_L50,40.0,True,3.99089604929322e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,box,box_L50,box_L50,50.0,True,3.99089604929322e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.2692001858054614e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,integration,accuracy_nominal,strict_L40_y1,0.25,True,3.636898231005613e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,integration,strict_L40_y1,strict_L40_y1,40.0,True,3.99089604929322e-11,0.0,0.0,0.0,0.0
18,low_alpha,1.4,0.05,matching,matching_y0p5,strict_L40_y1,0.5,True,8.303696442741304e-12,0.0,0.0,0.0,0.0
