Mach,alpha_neutral,cr_neutral,dalpha_neutral_dMach
1.328,0.3016307061604137,0.34209848037842666,-0.20548269847665632
1.329,0.30142541878012613,0.34248499215081313,-0.20508318179523422
1.33,0.30122055755742966,0.34287119497509105,-0.20463038329461444
1.331,0.3010161757741433,0.3432571179589212,-0.20412430297479717
1.332,0.30081232671208646,0.34364279020996447,-0.2035649408357822
1.333,0.30060906365307816,0.34402824083588146,-0.20295229687756972
1.334,0.30040643987893767,0.34441349894433326,-0.20228637110015954
1.335,0.30020450867148424,0.3447985936429802,-0.20156716350355192
1.336,0.30000332331253693,0.3451835540394836,-0.20079467408774648
1.337,0.29980293708391514,0.34556840924150384,-0.19996890285274369
1.338,0.29960340326743784,0.3459531883567019,-0.19908984979854308
1.339,0.2994047751449245,0.3463379204927385,-0.19815751492514505
1.34,0.299207105998194,0.3467226347572745,-0.19717189823254924
1.341,0.2990104491090657,0.34710736025797057,-0.19613299972075607
1.342,0.2988148577593589,0.34749212610248764,-0.19504081938976506
1.343,0.2986203852308926,0.3478769613984864,-0.19389535723957665
1.344,0.29842708480548613,0.34826189525362766,-0.19269661327019044
1.345,0.2982350097649586,0.34864695677557217,-0.1914445874816069
1.346,0.2980442133911293,0.3490321750719809,-0.19013927987382545
1.347,0.2978547489658174,0.3494175792505144,-0.1887806904468467
1.348,0.297666669770842,0.3498031984188336,-0.18736881920067008
1.349,0.29748002908802246,0.3501890616845993,-0.18590366613529613
1.35,0.2972948801991778,0.3505751981554722,-0.18438523125072426
1.351,0.29711112663046246,0.35096164664365226,-0.18312910661784917
1.3519999999999999,0.29692860758506656,0.3513484057393629,-0.18191618461196157
1.353,0.2967472798603629,0.35173544421730013,-0.18074646523306118
1.354,0.2965671002537247,0.3521227308521599,-0.1796199484811483
1.355,0.2963880255625249,0.3525102344186379,-0.17853663435622313
1.3559999999999999,0.29621001258413654,0.35289792369143025,-0.17749652285828546
1.357,0.29603301811593274,0.353285767445233,-0.17649961398733507
1.358,0.2958569989552862,0.353673734454742,-0.17554590774337214
1.359,0.29568191189957027,0.354061793494653,-0.17463540412639694
1.3599999999999999,0.2955077137461578,0.3544499133396622,-0.17376810313640922
1.361,0.2953343612924218,0.35483806276446556,-0.17294400477340882
1.362,0.2951618113357353,0.35522621054375886,-0.17216310903739587
1.363,0.29499002067347135,0.35561432545223803,-0.17142541592837063
1.3639999999999999,0.2948189461030029,0.3560023762645992,-0.17073092544633284
1.365,0.294648544421703,0.3563903317555381,-0.1700796375912824
1.366,0.29447877242694465,0.3567781606997509,-0.16947155236321945
1.367,0.2943095869161009,0.3571658318719333,-0.16890666976214413
1.3679999999999999,0.2941409446865448,0.3575533140467813,-0.16838498978805627
1.369,0.2939728025356491,0.3579405759989911,-0.1679065124409558
1.37,0.2938051172607871,0.3583275865032584,-0.16747123772084285
1.371,0.2936378456593318,0.3587143143342791,-0.16707916562771746
1.3719999999999999,0.2934709445286561,0.3591007282667492,-0.16673029616157956
1.373,0.29330437066613296,0.3594867970753648,-0.16642462932242907
1.374,0.2931380808691355,0.3598724895348217,-0.16616216511026607
1.375,0.2929720319350368,0.36025777441981577,-0.16594290352509064
1.376,0.2928061806612097,0.36064262050504303,-0.1657668445669027
1.377,0.2926404838450273,0.36102699656519954,-0.1656339882357022
1.3780000000000001,0.29247489828386264,0.36141087137498107,-0.16554433453148917
1.379,0.29230938077508867,0.36179421370908366,-0.16549788345426367
1.38,0.2921438881160785,0.36217699234220313,-0.16549463500402564
1.381,0.291978377104205,0.3625591760490356,-0.16553458918077513
1.3820000000000001,0.2918128045368412,0.362940733604277,-0.1656177459845121
1.383,0.2916471272113603,0.363321633782623,-0.16574410541523654
1.384,0.2914813019251351,0.36370184535876976,-0.16591366747294845
1.385,0.2913152854755387,0.36408133710741336,-0.1661264321576479
1.3860000000000001,0.2911490346599442,0.3644600778032496,-0.16638239946933484
1.387,0.29098250627572436,0.36483803622097427,-0.16668156940800924
1.388,0.2908156571202524,0.36521518113528345,-0.1670239419736711
1.389,0.2906484439909014,0.3655914813208732,-0.16740951716632055
1.3900000000000001,0.29048082368504413,0.3659669055524394,-0.16783829498595748
1.391,0.29031275300005377,0.3663414226046777,-0.16831027543258179
1.392,0.2901441887333034,0.3667150012522844,-0.1688254585061936
1.393,0.28997508768216573,0.3670876102699554,-0.169383844206793
1.3940000000000001,0.28980540664401405,0.3674592184323865,-0.16998543253437992
1.395,0.2896351024162213,0.3678297945142737,-0.17063022348895418
1.396,0.28946413179616054,0.36819930729031297,-0.17131821707051595
1.397,0.28929245158120465,0.3685677255352003,-0.1720494132790653
1.3980000000000001,0.2891200185687267,0.3689350180236315,-0.1728238121146022
1.399,0.2889467895560998,0.3693011535303025,-0.17364141357712642
1.4,0.2887727213406968,0.3696661008299094,-0.17450221766663807
1.401,0.28859797323111563,0.3700299291511089,-0.17499072087930892
1.4020000000000001,0.28842274646017063,0.37039274450299137,-0.1754595403945447
1.403,0.2882470607115591,0.37075457083090324,-0.17590867621234527
1.404,0.28807093566897846,0.3711154320801911,-0.17633812833271076
1.405,0.2878943910161261,0.37147535219620154,-0.1767478967556413
1.4060000000000001,0.2877174464366996,0.37183435512428104,-0.1771379814811367
1.407,0.2875401216143963,0.372192464809776,-0.17750838250919695
1.408,0.2873624362329137,0.37254970519803315,-0.1778590998398221
1.409,0.2871844099759492,0.3729061002343989,-0.17819013347301224
1.4100000000000001,0.2870060625272001,0.3732616738642198,-0.17850148340876731
1.411,0.2868274135703642,0.37361645003284233,-0.1787931496470872
1.412,0.2866484827891385,0.3739704526856131,-0.17906513218797201
1.413,0.2864692898672207,0.3743237057678785,-0.17931743103142184
1.4140000000000001,0.2862898544883081,0.37467623322498517,-0.17955004617743653
1.415,0.28611019633609824,0.37502805900227953,-0.1797629776260161
1.416,0.28593033509428856,0.37537920704510813,-0.17995622537716058
1.417,0.2857502904465764,0.3757297012988176,-0.18012978943087
1.418,0.28557008207665935,0.3760795657087543,-0.1802836697871443
1.419,0.2853897296682346,0.3764288242202649,-0.18041786644598357
1.42,0.2852092529049998,0.3767775007786957,-0.1805323794073877
1.421,0.2850286714706523,0.3771256193293936,-0.1806272086713568
1.422,0.2848480050488896,0.3774732038177047,-0.18070235423789077
1.423,0.284667273323409,0.37782027818897584,-0.18075781610698965
1.424,0.28448649597790804,0.37816686638855335,-0.18079359427865346
1.425,0.2843056926960842,0.3785129923617838,-0.18080968875288217
1.426,0.2841248831616348,0.37885868005401374,-0.1808060995296758
1.427,0.28394408705825736,0.3792039534105897,-0.18078282660903433
1.428,0.2837633240696492,0.37954883637685816,-0.18073986999095779
1.429,0.28358261387950784,0.3798933528981658,-0.18067722967544614
