split,Mach,s,alpha_neutral,alpha,distance_to_neutral,chart_s_low,chart_s_bulk,chart_s_neutral,chart_M_sonic,chart_M_mid,chart_M_high
train,1.3,0.05,0.3073354486044772,0.01536677243022386,0.95,True,False,False,False,True,False
train,1.3,0.1,0.3073354486044772,0.03073354486044772,0.9,True,False,False,False,True,False
train,1.3,0.2,0.3073354486044772,0.06146708972089544,0.8,False,True,False,False,True,False
train,1.3,0.35,0.3073354486044772,0.10756740701156702,0.65,False,True,False,False,True,False
train,1.3,0.5,0.3073354486044772,0.1536677243022386,0.5,False,True,False,False,True,False
train,1.3,0.65,0.3073354486044772,0.1997680415929102,0.35,False,True,False,False,True,False
train,1.3,0.78,0.3073354486044772,0.23972164991149222,0.21999999999999997,False,True,False,False,True,False
train,1.3,0.87,0.3073354486044772,0.2673818402858952,0.13,False,True,True,False,True,False
train,1.3,0.93,0.3073354486044772,0.2858219672021638,0.06999999999999995,False,False,True,False,True,False
train,1.3,0.97,0.3073354486044772,0.2981153851463429,0.030000000000000027,False,False,True,False,True,False
train,1.3,0.985,0.3073354486044772,0.30272541687541005,0.015000000000000013,False,False,True,False,True,False
train,1.35,0.05,0.2972948801991778,0.014864744009958892,0.95,True,False,False,False,True,False
train,1.35,0.1,0.2972948801991778,0.029729488019917785,0.9,True,False,False,False,True,False
train,1.35,0.2,0.2972948801991778,0.05945897603983557,0.8,False,True,False,False,True,False
train,1.35,0.35,0.2972948801991778,0.10405320806971223,0.65,False,True,False,False,True,False
train,1.35,0.5,0.2972948801991778,0.1486474400995889,0.5,False,True,False,False,True,False
train,1.35,0.65,0.2972948801991778,0.19324167212946558,0.35,False,True,False,False,True,False
train,1.35,0.78,0.2972948801991778,0.2318900065553587,0.21999999999999997,False,True,False,False,True,False
train,1.35,0.87,0.2972948801991778,0.2586465457732847,0.13,False,True,True,False,True,False
train,1.35,0.93,0.2972948801991778,0.2764842385852354,0.06999999999999995,False,False,True,False,True,False
train,1.35,0.97,0.2972948801991778,0.2883760337932025,0.030000000000000027,False,False,True,False,True,False
train,1.35,0.985,0.2972948801991778,0.2928354569961902,0.015000000000000013,False,False,True,False,True,False
train,1.4,0.05,0.2887727213406968,0.01443863606703484,0.95,True,False,False,False,True,False
train,1.4,0.1,0.2887727213406968,0.02887727213406968,0.9,True,False,False,False,True,False
train,1.4,0.2,0.2887727213406968,0.05775454426813936,0.8,False,True,False,False,True,False
train,1.4,0.35,0.2887727213406968,0.10107045246924388,0.65,False,True,False,False,True,False
train,1.4,0.5,0.2887727213406968,0.1443863606703484,0.5,False,True,False,False,True,False
train,1.4,0.65,0.2887727213406968,0.18770226887145294,0.35,False,True,False,False,True,False
train,1.4,0.78,0.2887727213406968,0.22524272264574352,0.21999999999999997,False,True,False,False,True,False
train,1.4,0.87,0.2887727213406968,0.2512322675664062,0.13,False,True,True,False,True,False
train,1.4,0.93,0.2887727213406968,0.26855863084684806,0.06999999999999995,False,False,True,False,True,False
train,1.4,0.97,0.2887727213406968,0.2801095397004759,0.030000000000000027,False,False,True,False,True,False
train,1.4,0.985,0.2887727213406968,0.28444113052058634,0.015000000000000013,False,False,True,False,True,False
train,1.45,0.05,0.2798347561605271,0.013991737808026357,0.95,True,False,False,False,True,False
train,1.45,0.1,0.2798347561605271,0.027983475616052713,0.9,True,False,False,False,True,False
